slug,nu,solver,cand,reference,pearson,spearman,top10_jaccard,max_abs_rank_shift_frac,mean_abs_dv,max_abs_dv
ALL_W_14-25_mrc2,8,anderson,poly2-goff,poly2-gscalar,0.9850931871679577,0.9796771648803146,0.8378378378378378,0.3620178041543027,0.0019974414064322654,0.02113562397505766
ALL_W_14-25_mrc2,8,anderson,poly2-gscalar,poly2-gscalar,1.0,0.9999999999999999,1.0,0.0,0.0,0.0
ALL_W_14-25_mrc2,8,anderson,poly2-gvarying,poly2-gscalar,0.9998277256117309,0.9996027426123293,0.9428571428571428,0.05341246290801187,0.00026197150052327815,0.0015248399121016252
ALL_W_14-25_mrc2,8,anderson,poly3-goff,poly2-gscalar,0.9834300502399093,0.9780200967715234,0.8378378378378378,0.34718100890207715,0.002227279917197701,0.020003309234909616
ALL_W_14-25_mrc2,8,anderson,poly3-gscalar,poly2-gscalar,0.9984705348750694,0.9974565493853327,0.9428571428571428,0.10385756676557864,0.0008290334621039006,0.004610150070958588
ALL_W_14-25_mrc2,8,anderson,poly3-gvarying,poly2-gscalar,0.997877197912131,0.9968175513142413,0.9428571428571428,0.08011869436201781,0.0009804778232709436,0.004931990773753815
ALL_W_14-25_mrc2,8,anderson,poly4-goff,poly2-gscalar,0.9831233507465506,0.9774949143529376,0.7894736842105263,0.35014836795252224,0.0023232533952143473,0.01909407382316732
ALL_W_14-25_mrc2,8,anderson,poly4-gscalar,poly2-gscalar,0.9975283622841294,0.9960431032104166,0.9428571428571428,0.1394658753709199,0.0010500051190253084,0.006028637496394625
ALL_W_14-25_mrc2,8,anderson,poly4-gvarying,poly2-gscalar,0.9969702819205017,0.9950664206827182,0.8888888888888888,0.10089020771513353,0.0011560937229088397,0.004323482355199762
ALL_W_14-25_mrc2,8,anderson,poly5-goff,poly2-gscalar,0.9825571670281887,0.9765282651609973,0.7894736842105263,0.35311572700296734,0.0023315598079777966,0.019146603951500335
ALL_W_14-25_mrc2,8,anderson,poly5-gscalar,poly2-gscalar,0.9973374222609125,0.9957138843808553,0.8378378378378378,0.1394658753709199,0.0010908934312979218,0.006028574415724701
ALL_W_14-25_mrc2,8,anderson,poly5-gvarying,poly2-gscalar,0.9972819032300876,0.995785058356389,0.8888888888888888,0.10682492581602374,0.0010999091404334889,0.004435185326908184
ALL_W_14-25_mrc2,8,anderson,poly6-goff,poly2-gscalar,0.9828918648171501,0.9767439818797955,0.7894736842105263,0.35311572700296734,0.0023153626526092727,0.01892046619728268
ALL_W_14-25_mrc2,8,anderson,poly6-gscalar,poly2-gscalar,0.9974818137487055,0.9959600146486701,0.8378378378378378,0.10979228486646884,0.0010628502989024956,0.004908438732477411
ALL_W_14-25_mrc2,8,anderson,poly6-gvarying,poly2-gscalar,0.9969583003938478,0.9952495290603027,0.8888888888888888,0.0830860534124629,0.0011561177526140693,0.0036390693666771556
ALL_W_14-25_mrc2,8,anderson,spline3-goff,poly2-gscalar,0.983951531007792,0.97865595942519,0.8378378378378378,0.35311572700296734,0.0021225370290089657,0.020306649639974157
ALL_W_14-25_mrc2,8,anderson,spline3-gscalar,poly2-gscalar,0.9991660859108346,0.9985865538250838,0.9428571428571428,0.07418397626112759,0.0006082389946176144,0.003705570905342107
ALL_W_14-25_mrc2,8,anderson,spline3-gvarying,poly2-gscalar,0.9984747644190115,0.9977738536286812,0.9428571428571428,0.08011869436201781,0.0007980320278920335,0.005000572787024905
ALL_W_14-25_mrc2,8,anderson,spline4-goff,poly2-gscalar,0.9815127087790133,0.9753327304970763,0.7894736842105263,0.35311572700296734,0.002451596315764639,0.019009841495433583
ALL_W_14-25_mrc2,8,anderson,spline4-gscalar,poly2-gscalar,0.9967054750425132,0.9947754539457345,0.8378378378378378,0.1394658753709199,0.0012272480656385736,0.006185008786734633
ALL_W_14-25_mrc2,8,anderson,spline4-gvarying,poly2-gscalar,0.9960964330807934,0.9937147422310626,0.8378378378378378,0.11275964391691394,0.0013355717179935858,0.0046816040240076785
ALL_W_14-25_mrc2,8,anderson,spline5-goff,poly2-gscalar,0.9824533417439533,0.9763978317961426,0.7894736842105263,0.3590504451038576,0.0023417822082923744,0.0188846955322892
ALL_W_14-25_mrc2,8,anderson,spline5-gscalar,poly2-gscalar,0.9972971649061949,0.9957141979225977,0.8378378378378378,0.12462908011869436,0.0010985201903873777,0.005585574637971489
ALL_W_14-25_mrc2,8,anderson,spline5-gvarying,poly2-gscalar,0.996848394943804,0.9951200363206752,0.8888888888888888,0.08605341246290801,0.001191148076382241,0.00401199338605659
ALL_W_14-25_mrc2,8,anderson,spline6-goff,poly2-gscalar,0.9822265203768787,0.9761796067434048,0.7894736842105263,0.3590504451038576,0.0023456444440301196,0.018815535337631157
ALL_W_14-25_mrc2,8,anderson,spline6-gscalar,poly2-gscalar,0.9973838696921407,0.995905771927228,0.8378378378378378,0.10682492581602374,0.0010868774002915727,0.004792624510100671
ALL_W_14-25_mrc2,8,anderson,spline6-gvarying,poly2-gscalar,0.9968818960516481,0.9951429248678734,0.8888888888888888,0.08605341246290801,0.0011874208134213691,0.00377410006041113
