race_id,competition_id,series_key,country,year,course_id,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
117,1219738919,chester_marathon,GBR,2017,1.0,13.802,13.652,15.057,182.5,3.5
118,3280122219,chester_marathon,GBR,2018,1.0,8.831,8.784,11.951,182.5,3.5
119,1828880064,chester_marathon,GBR,2019,1.0,13.848,13.667,14.794,182.5,3.5
120,3251913722,chester_marathon,GBR,2021,1.0,12.328,11.576,13.86,182.5,3.5
121,3352444352,chester_marathon,GBR,2022,1.0,14.439,13.795,14.702,182.5,3.5
122,3943132342,chester_marathon,GBR,2023,1.0,17.291,16.496,20.301,182.5,3.5
123,3099899966,chester_marathon,GBR,2024,1.0,12.932,12.444,13.119,182.5,3.5
124,951213843,chester_marathon,GBR,2025,1.0,13.355,11.902,13.416,182.5,3.5
377,921594309,chicago_marathon,USA,2014,1.0,10.39,9.58,13.933,36.0,2.3
378,3063451368,chicago_marathon,USA,2015,1.0,16.317,14.234,20.557,36.0,2.3
379,4093586871,chicago_marathon,USA,2016,1.0,13.516,12.416,14.996,36.0,2.3
380,1568662044,chicago_marathon,USA,2017,1.0,17.958,16.897,21.947,36.0,2.3
381,3595497040,chicago_marathon,USA,2018,1.0,14.438,14.152,14.947,36.0,2.3
382,3717926794,chicago_marathon,USA,2019,1.0,7.853,6.059,9.093,36.0,2.3
383,39275322,chicago_marathon,USA,2021,1.0,22.386,21.479,23.012,36.0,2.3
384,1347157030,chicago_marathon,USA,2022,1.0,12.109,9.619,16.053,36.0,2.3
385,4274729869,chicago_marathon,USA,2023,1.0,10.142,8.437,10.818,36.0,2.3
386,140364148,chicago_marathon,USA,2024,1.0,14.998,13.969,15.886,36.0,2.3
387,2799503071,chicago_marathon,USA,2025,1.0,14.269,13.681,17.536,36.0,2.3
187,485645462,cologne_marathon,GER,2018,1.0,12.637,11.404,13.567,72.2,10.3
188,388480332,cologne_marathon,GER,2019,1.0,19.615,18.632,21.816,72.2,10.3
189,413323325,cologne_marathon,GER,2022,1.0,14.453,14.246,15.961,72.2,10.3
190,2564044560,cologne_marathon,GER,2023,1.0,19.537,18.591,21.997,72.2,10.3
191,1739871683,cologne_marathon,GER,2024,1.0,11.978,11.462,13.532,72.2,10.3
192,3888296686,cologne_marathon,GER,2025,1.0,11.975,11.193,12.236,72.2,10.3
34,2702370315,copenhagen_marathon,DEN,2014,1.0,16.499,15.684,16.175,74.1,3.0
35,367687156,copenhagen_marathon,DEN,2015,1.0,11.692,11.225,13.75,74.1,3.0
36,2005755399,copenhagen_marathon,DEN,2016,1.0,20.279,18.468,19.555,74.1,3.0
37,4160454954,copenhagen_marathon,DEN,2017,1.0,16.071,14.222,15.888,74.1,3.0
38,1722994994,copenhagen_marathon,DEN,2018,1.0,20.425,17.71,18.945,74.1,3.0
39,1248297028,copenhagen_marathon,DEN,2019,1.0,16.402,16.7,19.649,74.1,3.0
