series_key,year,race_date,distance_m,competition_id,finisher_count,start_info,has_individual_start,has_repr_start,frac_individual_start,frac_per_runner_clock,frac_gun_and_chip,anchor_source,anchor_fallback,anchor_local,anchor_is_range,weather_model,wbgt_method,n_oncourse_points,window_start_local,window_end_local,dur_median_min,dur_p10_min,dur_p90_min,wbgt_field,temp_field,wind_field,precip_total_mm,wbgt_max,wbgt_rising_slope_c_per_h,wbgt_spatial_spread,wbgt_anchor_sens
belfast_marathon,2014,2014-05-05,42195.0,521474854,2330,individual,True,False,1.0,0.0,1.0,series_median,series_median,09:04,False,era5,thermofeel,10,09:00,17:00,253.1,205.6,323.0,10.111,10.736,8.046,2.05,11.69,0.2664,0.632,0.158
belfast_marathon,2015,2015-05-04,42195.0,2979388557,2280,individual,True,False,1.0,0.0,1.0,series_median,series_median,09:04,False,era5,thermofeel,10,09:00,17:00,257.6,207.0,324.3,10.684,11.457,5.685,0.0,12.041,0.3938,0.664,0.528
belfast_marathon,2016,2016-05-02,42195.0,3555905406,2173,individual,True,False,1.0,0.0,1.0,series_median,series_median,09:04,False,era5,thermofeel,10,09:00,17:00,256.3,203.5,326.1,9.372,10.585,7.074,0.38,9.749,0.157,0.373,0.222
belfast_marathon,2017,2017-05-01,42195.0,1401170003,2147,individual,True,False,1.0,0.0,1.0,series_median,series_median,09:04,False,era5,thermofeel,10,09:00,17:00,258.5,207.6,330.2,12.034,11.945,3.26,0.0,15.17,0.7764,0.945,1.035
belfast_marathon,2018,2018-05-07,42195.0,1947636292,2222,individual,True,False,1.0,0.0,1.0,series_median,series_median,09:04,False,era5,thermofeel,10,09:00,17:00,259.0,205.0,334.5,12.938,12.837,2.908,0.0,16.599,0.8886,1.271,1.08
belfast_marathon,2019,2019-05-05,42195.0,3810222378,3754,individual,True,False,1.0,0.0,1.0,series_median,series_median,09:04,False,era5,thermofeel,10,09:00,17:00,248.0,199.1,314.8,7.263,8.331,4.274,0.0,8.61,0.3484,0.583,0.456
belfast_marathon,2021,2021-10-03,42195.0,863358528,2957,individual,True,False,1.0,0.0,1.0,series_median,series_median,09:04,False,era5,thermofeel,10,09:00,16:00,238.7,188.0,307.7,11.082,11.856,6.992,0.0,12.348,0.7474,0.435,0.785
belfast_marathon,2022,2022-05-01,42195.0,1238049322,3075,individual,True,False,1.0,0.0,1.0,series_median,series_median,09:04,False,era5,thermofeel,10,08:00,18:00,249.0,197.6,313.2,10.994,10.713,2.557,1.98,14.205,0.4135,0.676,0.381
belfast_marathon,2023,2023-04-30,42195.0,2547587821,3345,individual,True,False,0.9931,0.9931,0.0,individual_starts,own,09:03,False,era5,thermofeel,10,09:00,18:00,249.0,199.1,309.8,12.806,12.494,3.222,6.04,16.26,0.968,1.09,0.006
belfast_marathon,2024,2024-05-05,42195.0,920496084,4381,individual,True,False,0.9897,0.9897,0.0,individual_starts,own,09:04,False,era5,thermofeel,10,09:00,17:00,250.7,200.3,315.9,12.776,12.472,0.75,0.09,14.646,0.7524,0.574,0.006
belfast_marathon,2025,2025-05-04,42195.0,2556258431,5224,individual,True,False,1.0,0.9948,1.0,individual_starts,own,09:05,False,era5,thermofeel,10,09:00,17:00,249.1,198.2,315.9,9.005,10.234,3.619,0.0,9.936,0.4018,0.859,0.002
belfast_marathon,2026,2026-05-03,42195.0,3980488655,5215,individual,True,False,1.0,0.9944,1.0,individual_starts,own,09:04,False,era5,thermofeel,10,09:00,17:00,246.6,195.0,317.4,10.802,10.829,3.198,1.45,11.342,0.0018,0.653,0.0
berlin_marathon,2014,2014-09-28,42195.0,3443598704,28925,individual,True,False,1.0,1.0,1.0,individual_starts,own,08:58,False,era5,thermofeel,10,08:00,17:00,241.9,195.7,306.7,14.204,14.167,1.72,0.0,19.39,1.565,0.143,0.0
berlin_marathon,2015,2015-09-27,42195.0,2869113161,36765,individual,True,False,1.0,1.0,0.9999,individual_starts,own,09:20,False,era5,thermofeel,10,09:00,17:00,241.3,193.8,307.1,12.434,12.961,2.808,0.0,14.239,0.9306,0.159,0.0
berlin_marathon,2016,2016-09-25,42195.0,2491970486,35979,individual,True,False,1.0,1.0,1.0,individual_starts,own,09:32,False,era5,thermofeel,10,07:00,18:00,247.2,196.4,316.5,15.935,17.458,2.956,0.0,19.074,1.6047,0.264,0.0
berlin_marathon,2017,2017-09-24,42195.0,973650973,39218,individual,True,False,1.0,1.0,1.0,individual_starts,own,09:41,False,era5,thermofeel,10,07:00,18:00,247.2,196.6,314.9,14.716,14.719,2.833,0.38,16.578,0.4251,0.237,0.0
berlin_marathon,2018,2018-09-16,42195.0,2873224197,40805,individual,True,False,1.0,1.0,1.0,individual_starts,own,09:46,False,era5,thermofeel,10,09:00,18:00,253.4,198.1,329.1,16.52,18.316,2.05,0.0,17.785,0.9216,0.154,0.0
berlin_marathon,2019,2019-09-29,42195.0,640959295,43977,individual,True,False,1.0,1.0,1.0,individual_starts,own,09:50,False,era5,thermofeel,10,09:00,18:00,244.7,192.9,320.1,13.655,14.746,4.561,4.44,14.892,0.242,0.244,0.0
berlin_marathon,2021,2021-09-26,42195.0,533525659,23099,individual,True,False,1.0,1.0,1.0,individual_starts,own,10:05,False,era5,thermofeel,10,09:00,18:00,253.5,194.7,326.4,19.769,20.978,3.342,0.16,22.248,0.9304,0.116,0.0
berlin_marathon,2022,2022-09-25,42195.0,926720551,34746,individual,True,False,1.0,1.0,1.0,individual_starts,own,09:42,False,era5,thermofeel,10,09:00,18:00,245.7,189.5,324.7,13.772,14.222,0.624,0.1,16.56,0.7592,0.221,0.0
berlin_marathon,2023,2023-09-24,42195.0,2579262860,43049,individual,True,False,1.0,1.0,1.0,individual_starts,own,09:52,False,era5,thermofeel,10,09:00,18:00,244.2,187.8,326.1,14.966,15.618,1.791,0.0,17.15,0.8582,0.166,0.0
berlin_marathon,2024,2024-09-29,42195.0,4092757441,54158,individual,True,False,1.0,1.0,1.0,individual_starts,own,09:59,False,era5,thermofeel,10,09:00,19:00,241.6,184.9,323.5,11.006,11.793,3.044,0.0,12.208,1.7023,0.163,0.0
berlin_marathon,2025,2025-09-21,42195.0,4057070641,48354,individual,True,False,1.0,1.0,1.0,individual_starts,own,09:52,False,era5,thermofeel,10,09:00,18:00,260.2,196.8,339.8,22.578,25.022,3.906,0.36,24.224,1.339,0.316,0.0
bostonUK_marathon,2021,2021-05-31,42195.0,3838960869,693,individual,True,False,1.0,0.0,1.0,series_median,series_median,08:00,False,era5,thermofeel,10,08:00,16:00,222.9,172.6,288.4,12.411,12.005,3.982,0.0,17.209,0.9438,0.045,1.009
bostonUK_marathon,2022,2022-04-18,42195.0,3328156821,619,individual,True,False,1.0,0.0,1.0,series_median,series_median,08:00,False,era5,thermofeel,10,08:00,15:00,239.5,183.3,311.8,11.298,11.648,3.878,0.0,13.666,0.5864,0.055,0.817
bostonUK_marathon,2023,2023-04-16,42195.0,3076957423,468,individual,True,False,1.0,0.0,1.0,series_median,series_median,08:00,False,era5,thermofeel,10,08:00,15:00,232.4,179.9,311.8,10.767,10.12,1.639,0.0,14.524,1.0841,0.042,1.535
bostonUK_marathon,2024,2024-04-28,42195.0,261278564,666,individual,True,True,1.0,0.0,1.0,db_start_time,own,08:00,False,era5,thermofeel,10,08:00,15:00,233.5,182.9,303.6,7.055,7.655,5.929,7.3,7.762,0.0317,0.048,0.135
bostonUK_marathon,2025,2025-04-13,42195.0,3742053714,870,individual,True,True,1.0,0.0,1.0,db_start_time,own,08:00,False,era5,thermofeel,10,08:00,16:00,230.5,179.0,302.4,11.34,12.141,4.709,0.3,13.49,0.4773,0.036,0.895
bostonUK_marathon,2026,2026-04-12,42195.0,3641527144,1020,individual,True,True,1.0,0.0,1.0,db_start_time,own,08:00,False,era5,thermofeel,10,08:00,16:00,229.3,179.8,297.4,8.744,10.183,8.946,0.0,12.005,0.5898,0.018,0.848
boston_marathon,2014,2014-04-21,42195.0,529839864,31805,individual,True,False,1.0,1.0,1.0,individual_starts,own,11:00,False,era5,thermofeel,10,08:00,19:00,232.2,184.8,317.1,11.731,15.894,2.802,0.0,14.182,1.1561,0.862,0.0
boston_marathon,2015,2015-04-20,42195.0,2970909011,26610,individual,True,False,1.0,1.0,1.0,individual_starts,own,10:50,False,era5,thermofeel,10,08:00,18:00,219.7,180.1,282.1,6.697,7.812,5.83,7.41,8.085,0.3369,0.651,0.0
boston_marathon,2016,2016-04-18,42195.0,4035316273,26639,individual,True,False,1.0,1.0,1.0,individual_starts,own,10:50,False,era5,thermofeel,10,08:00,18:00,228.1,188.7,293.2,15.043,18.85,3.177,0.0,15.348,1.618,3.429,0.0
boston_marathon,2017,2017-04-17,42195.0,2529435144,26411,individual,True,False,1.0,1.0,1.0,individual_starts,own,10:50,False,era5,thermofeel,10,08:00,18:00,231.7,189.2,297.8,16.924,21.943,5.563,0.0,18.748,2.0076,0.975,0.0
boston_marathon,2018,2018-04-16,42195.0,3577203158,25750,individual,True,False,1.0,1.0,1.0,individual_starts,own,10:50,False,era5,thermofeel,10,08:00,19:00,228.1,185.2,303.6,6.067,6.328,6.773,26.4,11.211,0.9157,1.686,0.0
