race_id,series_key,country,year,v_point,n_j,v_boot_med,v_sd,n_boot,lo95,lo90,lo68,hi95,hi90,hi68,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
1,goldcoast_marathon,AUS,2025,0.0276452271738985,1401,0.02722040312355345,0.002492041894719691,100,0.023218836834143997,0.023371312612855265,0.024837055043103504,0.032030692473891016,0.03163739029073026,0.029873065887274883,17.605,16.65,21.367,45.5,-4.5
2,melbourne_marathon,AUS,2014,0.030909040734640847,882,0.03169138143898109,0.00883221614720202,100,0.012948579201623784,0.018351409110639826,0.023430730919173703,0.04547730553560425,0.04232667147030005,0.038961575108212576,16.222,15.396,23.34,108.3,3.5
3,melbourne_marathon,AUS,2015,0.024844668096649425,994,0.025763649324199278,0.00889896851236364,100,0.0074247564887735314,0.010044306429218386,0.016914304861841815,0.04191269726679639,0.03578780547491767,0.03150079463042815,14.411,13.243,16.548,108.3,3.5
4,melbourne_marathon,AUS,2016,0.03708811939406864,991,0.037473724385114315,0.009120266296856333,100,0.019106109484960877,0.023064809743009618,0.03003500433456969,0.05264731735718217,0.0497895308820371,0.04479912151206295,18.57,15.805,19.007,108.3,3.5
5,melbourne_marathon,AUS,2017,0.023268834791117188,812,0.023579479069049447,0.00911621050024809,100,0.006158949465765196,0.00840342383606758,0.015552845338309425,0.0407902210515849,0.037476876978002276,0.030625217868960844,12.39,12.419,18.769,108.3,3.5
6,melbourne_marathon,AUS,2018,0.05979073116062583,1184,0.05939547415538604,0.0034566498600892477,100,0.05440884334985027,0.05477252255830521,0.05649867969413438,0.06662950840575696,0.06526687578928693,0.06347056230018104,19.584,16.853,21.102,108.3,3.5
7,melbourne_marathon,AUS,2019,0.03280843631493924,1382,0.03307425534859065,0.003471420612573768,100,0.026100842781178933,0.026670599771592984,0.029184951533521256,0.040392316285967296,0.03780334471808937,0.03576594296907677,14.092,13.209,18.789,108.3,3.5
8,melbourne_marathon,AUS,2021,0.04348452019389737,1411,0.044014100078714535,0.002881315361654415,100,0.03708874970916187,0.03918856848254672,0.04086152952065202,0.04833768660069028,0.04799138190007175,0.04651054534259473,15.786,15.774,21.971,108.3,3.5
9,melbourne_marathon,AUS,2022,0.03152650102328791,1733,0.0318568553435824,0.0026699415219306787,100,0.02631704664211798,0.02701033616305889,0.02884252035567612,0.03557734669839465,0.035500056541646376,0.03447300798189366,10.689,11.294,16.42,108.3,3.5
10,melbourne_marathon,AUS,2023,0.025270422955576688,1972,0.025232642528765226,0.002114299323072913,100,0.021158385175028487,0.0218093523862103,0.022992133852770928,0.029040317671094454,0.028174502664448608,0.02728454844050879,12.795,11.518,14.709,108.3,3.5
11,melbourne_marathon,AUS,2024,0.03225858241130508,2210,0.03225444828961932,0.0021536785864487737,100,0.027554863087026406,0.028418361876448462,0.029868441658230774,0.036340462421418404,0.035602215092303276,0.034143679749199816,16.16,13.506,18.71,108.3,3.5
12,melbourne_marathon,AUS,2025,0.010739773592581381,1965,0.010636820916318013,0.0020436012597103152,100,0.007012378816844844,0.007406749630833554,0.008693844240588096,0.014691144491593295,0.014035001712005623,0.012652489135456264,12.314,11.365,15.031,108.3,3.5
13,sydney_marathon,AUS,2022,0.05369422921908429,773,0.05336973743510476,0.0027685997484038732,100,0.04865405547176137,0.04922274358570687,0.051168746777242896,0.05959427552385423,0.05770965075338937,0.05650403960389623,16.848,14.019,17.566,258.0,-42.5
14,sydney_marathon,AUS,2023,0.073981295190652,1962,0.07388552394701775,0.002265205956331851,100,0.06952951166854894,0.0699279515638471,0.07152215497418801,0.07815462833878774,0.07768846321308767,0.07612490616776739,22.927,18.266,22.142,258.0,-42.5
15,sydney_marathon,AUS,2024,0.03510908071468388,3152,0.03501201552356836,0.001959314663379895,100,0.031249486395609465,0.03180976944763033,0.03318113964620467,0.03858603794332968,0.03845778160461748,0.03704796252717093,11.761,8.949,12.796,258.0,-42.5
16,sydney_marathon,AUS,2025,0.029533939972129275,5763,0.02942483151970199,0.001782896014516535,100,0.02597646277187366,0.026667754971322788,0.02774132224024603,0.03297257982171583,0.03237868017592982,0.03136549884408046,12.451,10.926,17.253,258.0,-42.5
17,vienna_marathon,AUT,2018,0.015040511956368796,426,0.014959801106546378,0.002923119805596694,100,0.009798453556197906,0.01028428988979282,0.012205424508180131,0.020632432355377837,0.020507553865144256,0.017673121342618784,21.887,19.289,22.363,90.3,10.5
