race_id,series_key,country,year,v_point,n_j,v_boot_med,v_sd,n_boot,lo95,lo90,lo68,hi95,hi90,hi68,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
15,sydney_marathon,AUS,2024,0.018470215496410702,45,0.019551080112636843,0.0063060853782183806,100,0.006362557284127312,0.008328691647770193,0.012659299397974806,0.030747814985494414,0.029401255744557854,0.025401492590472755,11.761,8.949,12.796,258.0,-42.5
16,sydney_marathon,AUS,2025,0.00010543844016019932,39,0.00015372156630899525,0.006243564274056987,100,-0.008635935030761877,-0.007014863662688509,-0.004878940038883712,0.013996714808355641,0.011858651990527356,0.007784716330635318,12.451,10.926,17.253,258.0,-42.5
21,vienna_marathon,AUT,2023,0.013166487568167184,24,0.012432958424630769,0.005435032328194219,100,0.00194749552085689,0.0038259805088089573,0.008191864330319092,0.023852923612932505,0.0215613751375185,0.016947030790800496,17.56,16.516,18.741,90.3,10.5
41,copenhagen_marathon,DEN,2023,0.008384149725459977,37,0.008104134492213255,0.005059442677812923,100,-0.0014232975020697313,0.0014363136380779022,0.004034742125129469,0.01823224495701503,0.01652907389715974,0.013700853573248536,18.556,15.594,16.677,74.1,3.0
42,copenhagen_marathon,DEN,2024,0.0018859629156189328,44,0.00203323062297045,0.003966928924521865,100,-0.004458410674391011,-0.0038250607880059295,-0.0015528918591034824,0.009883828595762725,0.008320593262167985,0.006132395058558302,12.899,13.166,14.319,74.1,3.0
43,copenhagen_marathon,DEN,2025,-0.011593027599083428,38,-0.011396712663734654,0.004443279533610902,100,-0.01847337695323741,-0.017915604052123425,-0.016203160897899666,-0.003049420863262479,-0.0037847594829512068,-0.00694605445541928,10.909,9.46,11.511,74.1,3.0
48,barcelona_marathon,ESP,2024,-0.01601948377811624,27,-0.01547397391277272,0.005554544772935605,100,-0.024758008579048994,-0.02301221851919344,-0.020301897072611652,-0.004611501798240708,-0.005291478677885176,-0.01041706754122693,10.859,9.48,12.847,121.9,-16.9
49,barcelona_marathon,ESP,2025,-0.01449028783354045,52,-0.014496138048530227,0.004288163212481606,100,-0.0233363061342464,-0.022894906464110586,-0.018586064324131044,-0.00692743435298243,-0.008494688989823288,-0.010768169527650358,9.685,9.76,13.01,121.9,-16.9
60,malaga_marathon,ESP,2024,0.0022775654040323445,31,0.0014598316430900482,0.0076000567243818045,100,-0.01644583904427588,-0.012238312967668419,-0.004959525573574339,0.014019597653513335,0.012189177400839933,0.0082401950836784,11.286,10.12,16.905,291.4,-0.1
61,malaga_marathon,ESP,2025,-0.014149964739411658,27,-0.013492691931390688,0.0062429678877565925,100,-0.02622103150700452,-0.0239238486309147,-0.020238990218728537,-0.003608749313000908,-0.004223167778121973,-0.007320177795109474,15.064,13.876,16.603,291.4,-0.1
66,seville_marathon,ESP,2019,-0.013472693850935968,22,-0.0133595929503727,0.0070751832986521036,100,-0.025862015592706622,-0.024919486644897227,-0.019977858962056807,0.001982574961965579,-0.0008025556780358226,-0.0066568384977090745,9.121,7.798,15.672,36.5,-0.1
67,seville_marathon,ESP,2020,-0.02012217826121443,32,-0.019733702300678058,0.007018821859558242,100,-0.0335949990121861,-0.03168311484972701,-0.027028476861522606,-0.006228240493074744,-0.0091322782835908,-0.013751052660370392,12.164,10.229,17.857,36.5,-0.1
68,seville_marathon,ESP,2022,-0.01639398471988507,51,-0.015499409584180057,0.004213675129251547,100,-0.023076885582203888,-0.02242553720622551,-0.01961306964505816,-0.007592746282092924,-0.008529216686282084,-0.012192228310471051,12.161,10.254,17.809,36.5,-0.1
69,seville_marathon,ESP,2023,-0.008647115083947554,60,-0.00878599719935158,0.0032646675246461036,100,-0.014976249031037493,-0.014223053289042475,-0.01216812869895307,-0.0029264454559168275,-0.003347526933858359,-0.006143757246290847,13.939,11.576,17.407,36.5,-0.1
