slice,solver,nu_argmax,nu_1se_lo,nu_1se_hi,cv_best_per_cell,se_at_best,plateau_1mcorr_over_band,vcost_pearson_1mcorr,vcost_spearman_1mcorr,vcost_max_abs_dv,vcost_mean_abs_dv
ALL_B_14-25_mrc2,anderson,8.0,8.0,10.0,0.9076815873120129,0.001202454382457842,0.00018149242051879177,0.0,0.0,0.0,0.0
ALL_M_14-25_mrc2,anderson,8.0,8.0,10.0,0.900153887921114,0.0035871431305643325,0.00029869987840258627,0.0,1.1102230246251565e-16,0.0,0.0
ALL_W_14-25_mrc2,anderson,8.0,6.0,10.0,0.9221817398886245,0.004834526789777011,0.0004610758577682228,0.0,1.1102230246251565e-16,0.0,0.0
Po10_B_14-25_mrc2,anderson,6.0,5.0,8.0,0.8872541315010463,0.003983070541883257,0.0004796030757963088,0.0004796030757963088,0.0007428519841626846,0.0036260892678881005,0.0005575587775911304
Po10_M_14-25_mrc2,anderson,6.0,5.0,6.0,0.8540774300191624,0.0032829804308423497,0.0002580452076075268,0.0005366433925879655,0.000987579889364043,0.0043547623907988975,0.0006245277958814278
Po10_W_14-25_mrc2,anderson,6.0,5.0,8.0,0.9453348997934471,0.008790566684690618,0.0005390779257847811,0.0005390779257847811,0.001075882725913746,0.0026877271012552984,0.0005687759853562597
WA_M_14-25_mrc2,anderson,5.0,3.0,10.0,1.615461403580921,0.023864150361583604,0.004353761373695364,0.002109541284952665,0.002835308274031889,0.006366234679502297,0.0009029472463949218
WA_W_14-25_mrc2,anderson,8.0,4.0,10.0,1.4114935381899099,0.017691418201430924,0.003616010411704007,0.0,0.0,0.0,0.0
__RECOMMENDED__,anderson,8.0,,,,,,0.002109541284952665,0.002835308274031889,0.006366234679502297,0.0009029472463949218
