slice,model,min_n,min_editions,n_top,series_key,country,k_editions,yr_min,yr_max,n_j_total,median_v,iqr_v,min_at_3h,rank_slow,rank_fast,m_lo95,m_hi95,p_slow,p_fast,rank_slow_lo,rank_slow_hi,rank_fast_lo,rank_fast_hi,n_boot,tier_slow,tier_fast
ALL_B_14-25_mrc2,full_nu8p00,0,3,20,newport_marathon,GBR,6,2018,2025,3185,-0.017294,0.008448,-3.086158,46,1,-0.020806,-0.012994,0.0,1.0,41.0,46.0,1.0,6.0,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,3,20,zurich_marathon,SUI,5,2019,2025,5522,-0.016926,0.012371,-3.02103,45,2,-0.019217,-0.012692,0.0,1.0,40.0,46.0,1.0,7.0,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,3,20,seville_marathon,ESP,7,2018,2025,11923,-0.016054,0.007399,-2.866693,44,3,-0.017113,-0.014424,0.0,1.0,42.0,46.0,1.0,5.0,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,3,20,hannover_marathon,GER,6,2018,2025,2867,-0.014278,0.005579,-2.551707,43,4,-0.016241,-0.01115,0.0,1.0,35.475,45.0,2.0,11.525,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,3,20,dublin_marathon,IRL,10,2014,2025,2481,-0.014163,0.007376,-2.531419,42,5,-0.017388,-0.010613,0.0,1.0,33.475,46.0,1.0,13.525,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,3,20,eindhoven_marathon,NED,8,2017,2025,6440,-0.013881,0.016879,-2.481294,41,6,-0.016706,-0.010344,0.0,1.0,32.475,45.525,1.475,14.525,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,3,20,manchester_marathon,GBR,6,2019,2025,22290,-0.013767,0.024768,-2.461042,40,7,-0.015197,-0.012311,0.0,1.0,38.0,44.0,3.0,9.0,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,3,20,frankfurt_marathon,GER,9,2015,2025,28712,-0.012821,0.005762,-2.292996,39,8,-0.014364,-0.011125,0.0,1.0,34.0,42.525,4.475,13.0,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,3,20,barcelona_marathon,ESP,5,2021,2025,7364,-0.012295,0.014965,-2.199472,38,9,-0.014833,-0.009614,0.0,1.0,30.475,43.0,4.0,16.525,100,,headline
ALL_B_14-25_mrc2,full_nu8p00,0,3,20,valencia_marathon,ESP,9,2017,2025,62148,-0.011809,0.006416,-2.113166,37,10,-0.012671,-0.009855,0.0,1.0,31.0,39.0,8.0,16.0,100,,headline
