slug,slice,nu,cand,basis,gamma_form,solver,loglik_best,best_init,loglik_gap_across_inits,max_abs_dv_across_inits,all_converged
ALL_M_14-25_mrc2,ALL_M,8,poly6-gvarying,poly6,varying,anderson,1337051.9246843283,mean,1.5825356654822826,0.003387687686962822,True
ALL_M_14-25_mrc2,ALL_M,8,spline3-goff,spline3,off,anderson,1321674.5420352777,mean,2.6247990210540593,0.0026524890126736686,True
ALL_M_14-25_mrc2,ALL_M,8,spline3-gscalar,spline3,scalar,anderson,1334313.7167002743,rand1,5.341819100081921,0.007634046913410058,True
ALL_M_14-25_mrc2,ALL_M,8,spline3-gvarying,spline3,varying,anderson,1335344.855926576,rand1,3.7347972285933793,0.00598492877781678,True
ALL_M_14-25_mrc2,ALL_M,8,spline4-goff,spline4,off,anderson,1322111.550329987,mean,4.181999986292794,0.0007699106830330316,True
ALL_M_14-25_mrc2,ALL_M,8,spline4-gscalar,spline4,scalar,anderson,1334648.7609302877,rand1,4.374925710726529,0.003739555280385963,True
ALL_M_14-25_mrc2,ALL_M,8,spline4-gvarying,spline4,varying,anderson,1336848.2409839053,rand1,3.9958830033428967,0.004646165454229981,True
ALL_M_14-25_mrc2,ALL_M,8,spline5-goff,spline5,off,anderson,1322192.4224501927,mean,2.497982610249892,0.007216097919714934,True
ALL_M_14-25_mrc2,ALL_M,8,spline5-gscalar,spline5,scalar,anderson,1334733.4367663488,rand1,4.081044011283666,0.004013733305672429,True
ALL_M_14-25_mrc2,ALL_M,8,spline5-gvarying,spline5,varying,anderson,1337035.4531403724,mean,3.217575835296884,0.005469637066267633,True
ALL_M_14-25_mrc2,ALL_M,8,spline6-goff,spline6,off,anderson,1322203.3208986637,mean,2.4409943157806993,0.008012503968362585,True
ALL_M_14-25_mrc2,ALL_M,8,spline6-gscalar,spline6,scalar,anderson,1334745.9504762278,rand1,4.061089639551938,0.005659528240205424,True
ALL_M_14-25_mrc2,ALL_M,8,spline6-gvarying,spline6,varying,anderson,1337057.203678778,mean,3.2781919767148793,0.00743390006802081,True
