slug,nu,solver,cand,reference,pearson,spearman,top10_jaccard,max_abs_rank_shift_frac,mean_abs_dv,max_abs_dv
Po10_M_14-25_mrc2,8,anderson,poly2-goff,poly2-gscalar,0.9944542105646309,0.9937588250423866,0.9230769230769231,0.1349206349206349,0.001994351999067173,0.011807242049086272
Po10_M_14-25_mrc2,8,anderson,poly2-gscalar,poly2-gscalar,1.0,1.0,1.0,0.0,0.0,0.0
Po10_M_14-25_mrc2,8,anderson,poly2-gvarying,poly2-gscalar,0.9999513943542809,0.9998417772538681,1.0,0.023809523809523808,0.00018049672231671814,0.0010175933359861423
Po10_M_14-25_mrc2,8,anderson,poly3-goff,poly2-gscalar,0.9928730697524787,0.9907150993241416,0.9230769230769231,0.14285714285714285,0.0025239262214057532,0.010453275527416796
Po10_M_14-25_mrc2,8,anderson,poly3-gscalar,poly2-gscalar,0.9983736829325153,0.9972194789447519,0.9230769230769231,0.05952380952380952,0.0012728338513362744,0.0032904288143900326
Po10_M_14-25_mrc2,8,anderson,poly3-gvarying,poly2-gscalar,0.9981291459139714,0.9967013181979404,0.8518518518518519,0.07539682539682539,0.0013486588987523978,0.003893429962581879
Po10_M_14-25_mrc2,8,anderson,poly4-goff,poly2-gscalar,0.9925789159995921,0.990502136007073,0.9230769230769231,0.15079365079365079,0.002598296012373289,0.011390557494996116
Po10_M_14-25_mrc2,8,anderson,poly4-gscalar,poly2-gscalar,0.9981664540243868,0.9966083342144317,0.9230769230769231,0.0873015873015873,0.0013061833848327816,0.003532340395253457
Po10_M_14-25_mrc2,8,anderson,poly4-gvarying,poly2-gscalar,0.9979763962799751,0.996186156934468,0.9230769230769231,0.09126984126984126,0.001372964710307507,0.0034687678266357123
Po10_M_14-25_mrc2,8,anderson,poly5-goff,poly2-gscalar,0.9925283995527553,0.9902261835398853,0.9230769230769231,0.16666666666666666,0.002575041014351728,0.010999128315448622
Po10_M_14-25_mrc2,8,anderson,poly5-gscalar,poly2-gscalar,0.9981235164591875,0.9963751243848249,0.9230769230769231,0.10714285714285714,0.0013183695994620158,0.004047152261535729
Po10_M_14-25_mrc2,8,anderson,poly5-gvarying,poly2-gscalar,0.9979301068535504,0.9959731936173994,0.9230769230769231,0.0992063492063492,0.0013811310728185655,0.0038733333471461517
Po10_M_14-25_mrc2,8,anderson,poly6-goff,poly2-gscalar,0.9923614678085726,0.9901159525271772,0.9230769230769231,0.16666666666666666,0.0025962232978613844,0.01164645556061416
Po10_M_14-25_mrc2,8,anderson,poly6-gscalar,poly2-gscalar,0.9980905792021376,0.9961614111969214,0.9230769230769231,0.1111111111111111,0.0013267041134674372,0.004038334018699775
Po10_M_14-25_mrc2,8,anderson,poly6-gvarying,poly2-gscalar,0.9979419103796258,0.99580747216292,0.9230769230769231,0.10714285714285714,0.0013803529726547617,0.003859556470332516
Po10_M_14-25_mrc2,8,anderson,spline3-goff,poly2-gscalar,0.9934862015092722,0.9917791660386499,0.9230769230769231,0.14285714285714285,0.00234207841026963,0.010874047829710992
Po10_M_14-25_mrc2,8,anderson,spline3-gscalar,poly2-gscalar,0.9989652436347748,0.9981043265297553,0.9230769230769231,0.05555555555555555,0.0010164886926462293,0.002415782664831549
Po10_M_14-25_mrc2,8,anderson,spline3-gvarying,poly2-gscalar,0.9988554762809564,0.9977571363332667,0.9230769230769231,0.07142857142857142,0.0010555346470246818,0.0027676271654218376
Po10_M_14-25_mrc2,8,anderson,spline4-goff,poly2-gscalar,0.9920446285921954,0.9894793121884757,0.9230769230769231,0.1626984126984127,0.0027287148993440516,0.010888816179845065
Po10_M_14-25_mrc2,8,anderson,spline4-gscalar,poly2-gscalar,0.9975861323349016,0.9955600147874529,0.8518518518518519,0.10317460317460317,0.0015167898639880026,0.003980948274642182
Po10_M_14-25_mrc2,8,anderson,spline4-gvarying,poly2-gscalar,0.997414985449766,0.9952623160660579,0.8518518518518519,0.09523809523809523,0.0015602766376559634,0.0038411590667487075
Po10_M_14-25_mrc2,8,anderson,spline5-goff,poly2-gscalar,0.9923010972428827,0.990116702398012,0.9230769230769231,0.16666666666666666,0.002618865851575814,0.01151829649109471
Po10_M_14-25_mrc2,8,anderson,spline5-gscalar,poly2-gscalar,0.9980600403929792,0.9961171688176712,0.9230769230769231,0.1111111111111111,0.0013546019837544028,0.0038594811945070195
Po10_M_14-25_mrc2,8,anderson,spline5-gvarying,poly2-gscalar,0.997939286562823,0.9958389667379794,0.9230769230769231,0.10714285714285714,0.0013922349543245005,0.0037005732934829935
Po10_M_14-25_mrc2,8,anderson,spline6-goff,poly2-gscalar,0.9923809751220917,0.9902074367690168,0.9230769230769231,0.16666666666666666,0.002594218083356921,0.011608010396329693
Po10_M_14-25_mrc2,8,anderson,spline6-gscalar,poly2-gscalar,0.998108635749648,0.9962333987970574,0.9230769230769231,0.1111111111111111,0.0013285910713199238,0.0039003248783122044
Po10_M_14-25_mrc2,8,anderson,spline6-gvarying,poly2-gscalar,0.9979715386667184,0.9959551967173657,0.9230769230769231,0.10317460317460317,0.0013784109162029315,0.00373481530179684
