slug,mrc,nu,param,cell_a,cell_b,pearson,spearman,max_abs
WA_W_14-25_mrc2,2,8.0,u,baseline,drift,0.9879763311395433,0.9881013944388697,0.21146681664234812
WA_W_14-25_mrc2,2,8.0,u,baseline,full,0.98210297662327,0.9751346952466396,0.22149922824722523
WA_W_14-25_mrc2,2,8.0,u,aging,baseline,0.9882598567338029,0.98353295833652,0.2075314223684277
WA_W_14-25_mrc2,2,8.0,u,aging,drift,0.9840042546494456,0.977720834355718,0.18243946824988733
WA_W_14-25_mrc2,2,8.0,u,aging,full,0.9945104165389723,0.9932057048882036,0.12484898410157719
WA_W_14-25_mrc2,2,8.0,u,drift,full,0.9838588132118828,0.975316610536306,0.18431813455714874
WA_W_14-25_mrc5,5,8.0,v,baseline,drift,0.9077236412826478,0.9261234928754112,0.04323903580921158
WA_W_14-25_mrc5,5,8.0,v,baseline,full,0.9540186587597163,0.9359517720131532,0.023396695654809965
WA_W_14-25_mrc5,5,8.0,v,aging,baseline,0.9531339052029016,0.9332115454877605,0.02450830679859553
WA_W_14-25_mrc5,5,8.0,v,aging,drift,0.9039108744208946,0.9268542199488492,0.04212433500415089
WA_W_14-25_mrc5,5,8.0,v,aging,full,0.9897208239903696,0.987504567044209,0.014881873187305189
WA_W_14-25_mrc5,5,8.0,v,drift,full,0.9379628946541704,0.9556083302886372,0.03443559265529654
WA_W_14-25_mrc5,5,8.0,u,baseline,drift,0.9922457927927925,0.9879784776250385,0.06912919275991669
WA_W_14-25_mrc5,5,8.0,u,baseline,full,0.9718581573010109,0.9504425850219167,0.09906281854610377
WA_W_14-25_mrc5,5,8.0,u,aging,baseline,0.9722853733913793,0.9493902583555222,0.09151256230499882
WA_W_14-25_mrc5,5,8.0,u,aging,drift,0.9729575297283221,0.952591350521128,0.11186462226997662
WA_W_14-25_mrc5,5,8.0,u,aging,full,0.9964205836718963,0.9949904425494118,0.07483934636185907
WA_W_14-25_mrc5,5,8.0,u,drift,full,0.9789169325327877,0.96208040722073,0.08485297420501503
