slug,slice,nu,mrc_lo,mrc_hi,peak_noD_mrc2,peak_withD_mrc2,peak_noD_mrc5,peak_withD_mrc5,gap_noD,gap_withD,d_on_mrc2,d_on_mrc5
Po10_W_14-25_mrc2,Po10_W,8.0,2,5,2.4757637981457283,2.357870283948313,2.593657312343144,2.71155082654056,0.005194594654380605,0.0023467681274027177,0.01102328817148473,0.0053157835389069
Po10_M_14-25_mrc2,Po10_M,8.0,2,5,2.5979161913453495,2.7160032909519565,2.5979161913453495,2.9521774901651696,0.005502654394151166,0.0025684209859313527,0.011350267014035825,0.005879083568938484
Po10_B_14-25_mrc2,Po10_B,8.0,2,5,2.7160032909519565,2.5979161913453495,2.5979161913453495,2.834090390558563,0.006236489517787902,0.0022516162795173586,0.011405689829305584,0.00564681683331454
ALL_W_14-25_mrc2,ALL_W,8.0,2,5,2.593657312343144,2.357870283948313,2.357870283948313,2.4757637981457283,0.005739445525993674,0.0019719557129758993,0.008084277208787023,0.004223990301317772
ALL_M_14-25_mrc2,ALL_M,8.0,2,5,2.7160032909519565,2.4798290917387424,2.4798290917387424,2.5979161913453495,0.008519933585267826,0.005156310841080659,0.007138130106043132,0.003822323744896934
ALL_B_14-25_mrc2,ALL_B,8.0,2,5,2.7160032909519565,2.4798290917387424,2.4798290917387424,2.4798290917387424,0.007581232921567402,0.004165668885433697,0.007447831347107744,0.00406278519375359
WA_M_14-25_mrc2,WA_M,8.0,2,5,2.707098362129163,2.4716985045527142,2.707098362129163,2.8247982909173874,0.005655325227642684,0.0031347628518099704,0.00782620121943204,0.004738217522659972
WA_W_14-25_mrc2,WA_W,8.0,2,5,2.707098362129163,2.5893984333409388,2.8247982909173874,3.177898077282061,0.006514785537297847,0.0024907318222776435,0.007061568837503856,0.0018669434826198606
