slug,nu,solver,form_a,form_b,pearson,spearman
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,poly3-gscalar,0.9984983936356668,0.9974161389752256
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,poly3-gvarying,0.9983820865570766,0.9973116754149525
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,poly4-goff,0.9908719581449282,0.9880369878383783
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,poly4-gscalar,0.9982582675373151,0.9971246727453283
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,poly4-gvarying,0.9981973212366124,0.9969737809360452
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,poly5-goff,0.9908658328175242,0.9882510736532584
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,poly5-gscalar,0.998178932885184,0.9969699119152943
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,poly5-gvarying,0.9981481632744997,0.9969982847341338
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,poly6-goff,0.9905686304297174,0.987842891964044
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,poly6-gscalar,0.9981341673097613,0.9967235842608239
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,poly6-gvarying,0.9981511846157524,0.9967190704032812
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,spline3-goff,0.9918324165978047,0.9895588026670452
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,spline3-gscalar,0.9989721012309661,0.9982176711074429
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,spline3-gvarying,0.9989684929316802,0.9981480287339275
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,spline4-goff,0.9904478954376003,0.9873412089400173
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,spline4-gscalar,0.9975537120959536,0.996067785243555
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,spline4-gvarying,0.9974865808661703,0.9958266162834187
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,spline5-goff,0.9904892024399085,0.9874179445182426
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,spline5-gscalar,0.9980403789579168,0.9965191709978206
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,spline5-gvarying,0.9980500824319729,0.9966520073769329
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,spline6-goff,0.9905243557920311,0.9875430428558533
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,spline6-gscalar,0.9980807916753132,0.9966004204335883
Po10_B_14-25_mrc2,8,anderson,poly2-gvarying,spline6-gvarying,0.9980852473508077,0.9966984356259431
Po10_B_14-25_mrc2,8,anderson,poly3-goff,poly2-goff,0.9985231500061701,0.9977566128013002
Po10_B_14-25_mrc2,8,anderson,poly3-goff,poly2-gscalar,0.9914622725059813,0.9884690284888894
Po10_B_14-25_mrc2,8,anderson,poly3-goff,poly2-gvarying,0.9914482561426762,0.9887972504159199
Po10_B_14-25_mrc2,8,anderson,poly3-goff,poly3-goff,1.0,1.0
Po10_B_14-25_mrc2,8,anderson,poly3-goff,poly3-gscalar,0.9924466328235573,0.9904448084189894
Po10_B_14-25_mrc2,8,anderson,poly3-goff,poly3-gvarying,0.9921644116183894,0.9905744206141427
Po10_B_14-25_mrc2,8,anderson,poly3-goff,poly4-goff,0.9998461274297731,0.9996653297050518
Po10_B_14-25_mrc2,8,anderson,poly3-goff,poly4-gscalar,0.9927021266521585,0.9903074581823342
Po10_B_14-25_mrc2,8,anderson,poly3-goff,poly4-gvarying,0.9924941143111147,0.9904338461935285
Po10_B_14-25_mrc2,8,anderson,poly3-goff,poly5-goff,0.9997403347756433,0.9994518887269633
