slug,slice,solver,nu,best_cand,cv_per_cell,full_bic,K,fold_seed
Po10_B_14-25_mrc2,Po10_B,anderson,inf,poly2-gscalar,0.7891322977417092,112448.51429156319,5,0
Po10_B_14-25_mrc2,Po10_B,anderson,8,poly2-gvarying,0.9184501626601781,75949.2550309219,5,0
