slice,model,min_n,min_editions,n_top,series_key,country,k_editions,yr_min,yr_max,n_j_total,median_v,iqr_v,min_at_3h,rank_slow,rank_fast,m_lo95,m_hi95,p_slow,p_fast,rank_slow_lo,rank_slow_hi,rank_fast_lo,rank_fast_hi,n_boot,tier_slow,tier_fast
ALL_W_14-25_mrc2,full_nu8p00,0,3,20,newport_marathon,GBR,6,2018,2025,904,-0.017339,0.009649,-3.09405,43,1,-0.021091,-0.009695,0.0,1.0,31.0,43.0,1.0,13.0,100,,headline
ALL_W_14-25_mrc2,full_nu8p00,0,3,20,dublin_marathon,IRL,10,2014,2025,778,-0.016474,0.005123,-2.941085,42,2,-0.019972,-0.010588,0.0,1.0,35.475,43.0,1.0,8.525,100,,headline
ALL_W_14-25_mrc2,full_nu8p00,0,3,20,malaga_marathon,ESP,7,2018,2025,1085,-0.014373,0.005892,-2.568676,41,3,-0.017554,-0.008792,0.0,1.0,29.475,43.0,1.0,14.525,100,,headline
ALL_W_14-25_mrc2,full_nu8p00,0,3,20,frankfurt_marathon,GER,9,2015,2025,6306,-0.012957,0.007255,-2.317301,40,4,-0.014589,-0.009313,0.0,1.0,32.0,42.0,2.0,12.0,100,,headline
ALL_W_14-25_mrc2,full_nu8p00,0,3,20,seville_marathon,ESP,7,2018,2025,2024,-0.012807,0.005136,-2.290599,39,5,-0.016346,-0.009899,0.0,1.0,32.475,43.0,1.0,11.525,100,,headline
ALL_W_14-25_mrc2,full_nu8p00,0,3,20,manchester_marathon,GBR,6,2019,2025,6807,-0.01186,0.019156,-2.122196,38,6,-0.014309,-0.009434,0.0,1.0,31.0,41.0,3.0,13.0,100,,headline
ALL_W_14-25_mrc2,full_nu8p00,0,3,20,cologne_marathon,GER,6,2018,2025,1943,-0.011513,0.022804,-2.060455,37,7,-0.013624,-0.006829,0.0,1.0,26.0,41.0,3.0,18.0,100,,headline
ALL_W_14-25_mrc2,full_nu8p00,0,3,20,barcelona_marathon,ESP,5,2021,2025,1397,-0.011362,0.011978,-2.033505,36,8,-0.014822,-0.004273,0.0,0.98,24.0,41.0,3.0,20.0,100,,headline
ALL_W_14-25_mrc2,full_nu8p00,0,3,20,chester_marathon,GBR,9,2016,2025,2467,-0.011105,0.016383,-1.987781,35,9,-0.015351,-0.004261,0.01,0.96,23.0,42.0,2.0,21.0,100,,headline
ALL_W_14-25_mrc2,full_nu8p00,0,3,20,amsterdam_marathon,NED,9,2016,2025,5794,-0.010567,0.007907,-1.892065,34,10,-0.014055,-0.008056,0.0,1.0,28.0,40.0,4.0,16.0,100,,headline
