slug,slice,nu,cand,basis,gamma_form,solver,init,seed,loglik,aic,bic,n_params,n_iter,converged,wall_s
ALL_B_14-25_mrc2,ALL_B,inf,spline3-gscalar,spline3,scalar,anderson,rand0,0.0,1826957.7461866564,-2848023.492373313,2001059.152107887,402947,46,True,13.29450530000031
ALL_B_14-25_mrc2,ALL_B,inf,spline3-gscalar,spline3,scalar,anderson,rand1,1.0,1826957.7464657407,-2848023.4929314815,2001059.1515497183,402947,56,True,16.676425299956463
ALL_B_14-25_mrc2,ALL_B,inf,spline3-gvarying,spline3,varying,anderson,mean,,1828995.5071682977,-2852097.0143365953,1996997.6642202483,402948,36,True,11.807528000092134
ALL_B_14-25_mrc2,ALL_B,inf,spline3-gvarying,spline3,varying,anderson,rand0,0.0,1828995.5190991112,-2852097.0381982224,1996997.6403586213,402948,48,True,17.370904100011103
ALL_B_14-25_mrc2,ALL_B,inf,spline3-gvarying,spline3,varying,anderson,rand1,1.0,1828995.5065396596,-2852097.013079319,1996997.6654775245,402948,39,True,13.89797109994106
ALL_B_14-25_mrc2,ALL_B,inf,spline4-goff,spline4,off,anderson,mean,,1822830.7008413733,-2839769.4016827466,2009313.2427984532,402947,46,True,17.304870500112884
ALL_B_14-25_mrc2,ALL_B,inf,spline4-goff,spline4,off,anderson,rand0,0.0,1822830.7003352046,-2839769.400670409,2009313.2438107906,402947,48,True,14.770745300105773
ALL_B_14-25_mrc2,ALL_B,inf,spline4-goff,spline4,off,anderson,rand1,1.0,1822830.7008309886,-2839769.401661977,2009313.2428192226,402947,48,True,14.72962210001424
ALL_B_14-25_mrc2,ALL_B,inf,spline4-gscalar,spline4,scalar,anderson,mean,,1827413.5892930366,-2848933.178586073,2000161.4999707704,402948,48,True,15.398514600005
ALL_B_14-25_mrc2,ALL_B,inf,spline4-gscalar,spline4,scalar,anderson,rand0,0.0,1827413.5890570348,-2848933.1781140696,2000161.500442774,402948,46,True,13.878574799979106
ALL_B_14-25_mrc2,ALL_B,inf,spline4-gscalar,spline4,scalar,anderson,rand1,1.0,1827413.5893313987,-2848933.1786627974,2000161.4998940462,402948,47,True,14.00925250002183
ALL_B_14-25_mrc2,ALL_B,inf,spline4-gvarying,spline4,varying,anderson,mean,,1829505.563390952,-2853113.126781904,1996005.6199262273,402950,51,True,18.100624299957417
ALL_B_14-25_mrc2,ALL_B,inf,spline4-gvarying,spline4,varying,anderson,rand0,0.0,1829505.563267621,-2853113.126535242,1996005.6201728894,402950,48,True,16.146560399909504
ALL_B_14-25_mrc2,ALL_B,inf,spline4-gvarying,spline4,varying,anderson,rand1,1.0,1829505.563464729,-2853113.126929458,1996005.6197786732,402950,53,True,17.560100200003944
ALL_B_14-25_mrc2,ALL_B,inf,spline5-goff,spline5,off,anderson,mean,,1822948.735983686,-2840003.471967372,2009091.2065894715,402948,47,True,14.203440200071782
ALL_B_14-25_mrc2,ALL_B,inf,spline5-goff,spline5,off,anderson,rand0,0.0,1822948.7356048352,-2840003.4712096704,2009091.2073471732,402948,48,True,14.414014099980704
ALL_B_14-25_mrc2,ALL_B,inf,spline5-goff,spline5,off,anderson,rand1,1.0,1822948.7359923911,-2840003.4719847823,2009091.2065720614,402948,46,True,13.19836869998835
ALL_B_14-25_mrc2,ALL_B,inf,spline5-gscalar,spline5,scalar,anderson,mean,,1827532.0626489604,-2849168.125297921,1999938.5873345667,402949,50,True,16.7296411000425
ALL_B_14-25_mrc2,ALL_B,inf,spline5-gscalar,spline5,scalar,anderson,rand0,0.0,1827532.0625184504,-2849168.125036901,1999938.5875955867,402949,46,True,14.927214200026356
ALL_B_14-25_mrc2,ALL_B,inf,spline5-gscalar,spline5,scalar,anderson,rand1,1.0,1827532.0626968034,-2849168.1253936067,1999938.5872388808,402949,48,True,14.967429299955256
ALL_B_14-25_mrc2,ALL_B,inf,spline5-gvarying,spline5,varying,anderson,mean,,1830643.5545924376,-2855385.109184875,1993757.705674545,402952,53,True,19.274437900050543
ALL_B_14-25_mrc2,ALL_B,inf,spline5-gvarying,spline5,varying,anderson,rand0,0.0,1830643.5545251924,-2855385.1090503847,1993757.7058090353,402952,47,True,17.413789200014435
ALL_B_14-25_mrc2,ALL_B,inf,spline5-gvarying,spline5,varying,anderson,rand1,1.0,1830643.5546299347,-2855385.1092598694,1993757.7055995506,402952,53,True,17.57612869993318
ALL_B_14-25_mrc2,ALL_B,inf,spline6-goff,spline6,off,anderson,mean,,1822963.698595385,-2840031.39719077,2009075.3154417174,402949,47,True,15.127772400039248
ALL_B_14-25_mrc2,ALL_B,inf,spline6-goff,spline6,off,anderson,rand0,0.0,1822963.698312371,-2840031.396624742,2009075.3160077455,402949,47,True,14.195996099966578
ALL_B_14-25_mrc2,ALL_B,inf,spline6-goff,spline6,off,anderson,rand1,1.0,1822963.6986740353,-2840031.3973480705,2009075.315284417,402949,45,True,13.301808300078847
ALL_B_14-25_mrc2,ALL_B,inf,spline6-gscalar,spline6,scalar,anderson,mean,,1827547.25689939,-2849196.51379878,1999922.2329093516,402950,49,True,16.77010879991576
ALL_B_14-25_mrc2,ALL_B,inf,spline6-gscalar,spline6,scalar,anderson,rand0,0.0,1827547.2568385093,-2849196.5136770187,1999922.2330311127,402950,46,True,15.576912100077607
ALL_B_14-25_mrc2,ALL_B,inf,spline6-gscalar,spline6,scalar,anderson,rand1,1.0,1827547.2568242317,-2849196.5136484634,1999922.233059668,402950,49,True,15.99244900001213
ALL_B_14-25_mrc2,ALL_B,inf,spline6-gvarying,spline6,varying,anderson,mean,,1831970.2785631297,-2858034.5571262594,1991132.3258844484,402954,39,True,16.761503100045957
ALL_B_14-25_mrc2,ALL_B,inf,spline6-gvarying,spline6,varying,anderson,rand0,0.0,1831970.2903413814,-2858034.580682763,1991132.302327945,402954,48,True,20.935122199938633
ALL_B_14-25_mrc2,ALL_B,inf,spline6-gvarying,spline6,varying,anderson,rand1,1.0,1831970.2775550429,-2858034.5551100858,1991132.327900622,402954,40,True,16.93756069999654
ALL_B_14-25_mrc2,ALL_B,8,poly2-goff,poly2,off,anderson,mean,,1923616.6681795493,-3041343.3363590986,1807727.2740464574,402946,72,True,22.025926299975254
ALL_B_14-25_mrc2,ALL_B,8,poly2-goff,poly2,off,anderson,rand0,0.0,1923618.0420977515,-3041346.084195503,1807724.526210053,402946,80,True,21.87951909995172
ALL_B_14-25_mrc2,ALL_B,8,poly2-goff,poly2,off,anderson,rand1,1.0,1923618.0235917722,-3041346.0471835444,1807724.5632220116,402946,67,True,19.426412499975413
ALL_B_14-25_mrc2,ALL_B,8,poly2-gscalar,poly2,scalar,anderson,mean,,1940459.0081958412,-3075026.0163916824,1774056.6280895174,402947,96,True,32.13459050003439
ALL_B_14-25_mrc2,ALL_B,8,poly2-gscalar,poly2,scalar,anderson,rand0,0.0,1940452.9627714274,-3075013.9255428547,1774068.718938345,402947,72,True,22.07191589998547
ALL_B_14-25_mrc2,ALL_B,8,poly2-gscalar,poly2,scalar,anderson,rand1,1.0,1940461.9653459515,-3075031.930691903,1774050.7137892968,402947,70,True,22.058677900000475
