model,n,r2,r2_lo,r2_hi,R_boot,b_temp,z_temp,b_gain,z_gain,pearson_temp,pearson_temp_lo,pearson_temp_hi,spearman_temp,spearman_temp_lo,spearman_temp_hi,pearson_gain,pearson_gain_lo,pearson_gain_hi,spearman_gain,spearman_gain_lo,spearman_gain_hi
baseline,343,0.37599253521528275,0.34593580815208835,0.3874187413952198,100,0.5604758797675282,12.933431924812266,0.17820611545399978,4.1122495115499405,0.5873297595824627,0.5133632134312677,0.6526342657785305,0.5514147972814419,0.4681827249936317,0.6249482247308998,0.2626642266478995,0.16125404496756857,0.35858564033110674,0.33688666722400545,0.23351580629265498,0.4327277639718844
aging,343,0.4089326508137011,0.3745162932456992,0.41936366301346695,100,0.589649432739264,13.980643033315797,0.174093019794997,4.127761732999224,0.615883510162946,0.5455697107843132,0.6775872244359273,0.5879636867794599,0.5093684176514043,0.6568311493126814,0.2629472937315825,0.16155019191365916,0.35885058136200704,0.33335494260828324,0.22975073165355955,0.42948865515241
drift,343,0.4431690673315549,0.4183788126867777,0.4568576582250069,100,0.6061518900734139,14.807151977893149,0.19864541373187472,4.852534288861308,0.6360857677776312,0.5684824933067965,0.6951564621311858,0.6087892279869765,0.5329981490731472,0.6748885581170568,0.2899864429898102,0.18992319677003897,0.3840872516141875,0.365783299011403,0.26443859208538206,0.4591375838097908
full,343,0.4577434094453201,0.4316605903127549,0.47116823904026245,100,0.6267986314316119,15.515914103442407,0.17718740025236532,4.386136702705817,0.6534990010512274,0.5883165671672829,0.710243759423088,0.6342179686850333,0.5620121129835753,0.6968304858180332,0.2716396869976802,0.17065313970605983,0.3669788452459336,0.331707696867322,0.22799570804356953,0.4279770431539439
