solver,nu,race_id,v
als,inf,1,-0.010590871657241851
als,inf,7,0.006373066889510676
als,inf,10,-0.016630213199589267
als,inf,11,-0.014350614626989618
als,inf,12,-0.011903283919642805
als,inf,14,0.02929399344620382
als,inf,15,0.008602750861074255
als,inf,16,-0.0023450587119387854
als,inf,18,-0.00435143347243332
als,inf,20,0.0025497451451992554
als,inf,21,0.013231307659325245
als,inf,22,-0.002098323248593711
als,inf,23,0.0024182816243771563
als,inf,29,-0.004986904860870355
als,inf,31,0.0019253672963316947
als,inf,32,0.017492669419712017
als,inf,33,0.009796527342159444
als,inf,38,0.017608861286082283
als,inf,40,0.0042311287631947945
als,inf,41,0.008532636975042746
als,inf,42,-0.009769102993303214
als,inf,43,-0.015372158083631252
als,inf,45,-0.005324279167927446
als,inf,46,-0.00695036154411304
als,inf,47,-0.0006605960814280469
als,inf,48,-0.020024198258515185
als,inf,49,-0.023431010179839316
als,inf,59,-0.006013327570451414
als,inf,60,0.005611055864829376
als,inf,61,-0.0038340777244102986
als,inf,65,-0.009287736609563137
als,inf,66,-0.01868003503917851
als,inf,67,-0.026885640103623248
als,inf,68,-0.02801705279180527
als,inf,69,-0.017663591161908347
als,inf,70,-0.025928546543159486
als,inf,71,-0.011390532596708153
als,inf,72,-0.0005553295864100879
als,inf,73,-0.0007610114581681073
als,inf,74,-0.026374449234511745
als,inf,75,-0.028042996847254236
als,inf,76,-0.016780529866572125
als,inf,77,-0.01890776786426429
als,inf,78,-0.03281722260014605
als,inf,79,-0.027475007178060673
als,inf,80,-0.032334100440912554
als,inf,81,0.027619266739374867
als,inf,82,0.05524391824791259
als,inf,83,0.010255822838166851
als,inf,84,0.00819372010223657
als,inf,85,0.0041507529461199165
als,inf,86,0.008662012248590738
als,inf,87,0.0032759920153965774
als,inf,88,-0.00795281320430956
als,inf,89,-0.0129261490133911
als,inf,90,-0.008418566812736762
als,inf,91,-0.012373990108539607
als,inf,118,0.026919869741408253
als,inf,123,-0.0036494298851392393
als,inf,131,0.018596336961688466
als,inf,135,0.04097851655053619
als,inf,136,-0.002131236708070726
als,inf,137,0.012720087474392723
als,inf,138,0.0223146375483715
als,inf,139,0.050554388555450185
als,inf,140,0.003040170843748954
als,inf,141,-0.014291247193058762
als,inf,142,0.016303879139003555
als,inf,143,0.010021738637745402
als,inf,144,-0.008486781279338565
als,inf,145,-0.004455867739634742
als,inf,146,0.0035924130247143825
als,inf,147,0.03133060804220655
als,inf,148,0.02289921191829069
als,inf,149,-0.003612217440691698
als,inf,150,0.002060463734869148
als,inf,151,-0.010695555980210906
als,inf,152,0.013166965439378932
als,inf,170,-0.0029235131758294152
als,inf,176,-0.01391744457161743
als,inf,177,-0.015545626399288357
als,inf,178,-0.0068057575207605666
als,inf,179,-0.002215474924247122
als,inf,180,-4.275906321960847e-06
als,inf,181,-0.019276510123383262
als,inf,182,-0.0018665978929521265
als,inf,183,-0.01844559663371153
als,inf,184,-0.02110468195818204
als,inf,185,-0.027503529004437765
als,inf,186,-0.0019670555404854456
als,inf,193,-0.010390180402042214
als,inf,194,-0.009802723397220858
als,inf,195,-0.001302480705730287
als,inf,196,-0.006149178226587208
als,inf,197,-0.012779846756577043
als,inf,198,0.00682926727667404
als,inf,199,-0.0012229982745249094
als,inf,200,-0.019082235722424682
als,inf,201,-0.017821521060213844
als,inf,202,0.011565264112384436
als,inf,203,0.0007750322269955073
als,inf,205,-0.015221989550357747
als,inf,206,-0.005837260179985656
als,inf,207,0.0036597762545689813
als,inf,208,-0.01273949216771178
als,inf,211,-0.02416309392779398
als,inf,213,-0.008751123128030145
als,inf,214,-0.023765223104233013
als,inf,228,8.439966560242268e-05
als,inf,231,0.023086793327815495
als,inf,232,0.009605142944932667
als,inf,233,0.0399074969169484
als,inf,234,-0.003950900214327312
als,inf,235,-0.014087452420808024
als,inf,236,0.000303872631775252
als,inf,237,-0.006033122432043261
als,inf,238,-0.011573770954206352
als,inf,239,-0.026952869360392734
als,inf,242,-0.012138750906705643
als,inf,243,0.016370125020954383
als,inf,244,-0.0028306401702156317
als,inf,245,-0.006896158366842889
als,inf,248,0.0015267729448942106
als,inf,249,-0.010672722335289911
als,inf,250,-0.0031348184881959795
als,inf,285,-0.017884473293522416
als,inf,286,-0.0025991382629698724
als,inf,287,0.0019400613303783023
als,inf,288,-0.01665456961181655
als,inf,289,0.00432606563870432
als,inf,290,-0.01635609724388324
als,inf,291,-0.01063978472444767
als,inf,292,-0.006969461234890929
als,inf,293,-0.006644315424944158
als,inf,302,0.005479846101434329
als,inf,303,0.013559308436967957
als,inf,304,-0.003438385235247378
als,inf,305,0.0018716527511237497
als,inf,306,-0.015939507208261587
als,inf,307,-0.006384206957178298
als,inf,308,-0.02611354244006021
als,inf,309,-0.010656903001281246
als,inf,310,-0.04064674422063952
als,inf,313,0.013923794756766786
als,inf,315,-0.013661634235994547
als,inf,316,-0.010911539236545899
als,inf,317,-0.020301795647525586
als,inf,318,-0.02019956456394199
als,inf,319,0.017394755654748906
als,inf,320,0.019390509984167775
als,inf,321,-0.006160863319474832
als,inf,322,-0.015693398489640176
als,inf,323,-0.025820025101545022
als,inf,324,-0.014789047545201437
als,inf,325,-0.015896333528234514
als,inf,352,-0.008755254735938908
als,inf,353,-0.021909924637759013
als,inf,354,-0.03975226846824692
als,inf,361,0.008080728302273708
als,inf,362,0.017479362252632802
als,inf,363,0.018250898283816857
als,inf,364,0.04449034941309873
als,inf,365,0.009645152038301939
als,inf,366,0.0002572605759427225
als,inf,367,0.013235881930627932
als,inf,368,0.042469894867885376
als,inf,369,0.03771926089705059
als,inf,370,0.054759684019851027
als,inf,371,0.012816688015473067
als,inf,372,0.01801500084392345
als,inf,373,0.0037583763845760207
als,inf,374,0.0016319939031320147
als,inf,375,0.013030003253617972
als,inf,376,0.0010426393313045317
als,inf,377,-0.01119476776077728
als,inf,378,0.013571795823000927
als,inf,379,0.013983357923068878
als,inf,380,0.023828148957617822
als,inf,381,0.009123982929828097
als,inf,382,-0.006143091075026216
als,inf,383,0.019769198833829226
als,inf,384,-0.011495315307471204
als,inf,385,-0.014917984751303735
als,inf,386,-0.004749552587533563
als,inf,387,-0.012494266958575017
als,inf,388,0.029123624005013397
als,inf,389,0.03817796193216188
als,inf,390,0.032783358898732975
als,inf,391,0.03758937973098158
als,inf,392,0.02190928132778342
als,inf,393,0.02696493635258765
als,inf,394,0.0188123036438333
als,inf,395,0.06338273975077609
als,inf,396,0.018002642301968016
als,inf,397,0.023720403130046613
als,inf,398,0.025587200146621445
als,15.0,1,-0.009857903771975192
als,15.0,7,0.0061064913615136674
als,15.0,10,-0.013437875700021067
als,15.0,11,-0.013245532136632474
als,15.0,12,-0.01187841227430076
als,15.0,14,0.0315316718505671
als,15.0,15,0.009641791293248256
als,15.0,16,0.00013299529115073255
als,15.0,18,-0.004843572342780029
als,15.0,20,0.006042260675287501
als,15.0,21,0.013272196460710666
als,15.0,22,-0.0008608554941460165
als,15.0,23,0.0024091487814097705
als,15.0,29,-0.0032238178543382468
als,15.0,31,0.0020421948834042397
als,15.0,32,0.01950412873521747
als,15.0,33,0.011159510451378129
als,15.0,38,0.019368127070699806
als,15.0,40,0.0023786373147684516
als,15.0,41,0.010115252631103746
als,15.0,42,-0.008726775812647709
als,15.0,43,-0.014361035692563596
als,15.0,45,-0.00378642136135809
als,15.0,46,-0.005859791022359068
als,15.0,47,-0.0009961795638757144
als,15.0,48,-0.01717847985844295
als,15.0,49,-0.02196860359853695
als,15.0,59,-0.0021127284014238437
als,15.0,60,-0.0006659080202418402
als,15.0,61,-0.010265431081566644
als,15.0,65,-0.007305134766783261
als,15.0,66,-0.011279398506502596
als,15.0,67,-0.02389462842050091
als,15.0,68,-0.024188992420678075
als,15.0,69,-0.015509419453654567
als,15.0,70,-0.023622718048621077
als,15.0,71,-0.013697433759724962
als,15.0,72,-0.00010485569003441887
als,15.0,73,0.0013495419522731535
als,15.0,74,-0.02297571105322112
als,15.0,75,-0.02476077398807261
als,15.0,76,-0.013913773237317566
als,15.0,77,-0.016431794680144534
als,15.0,78,-0.029118415633866704
als,15.0,79,-0.024344044473045688
als,15.0,80,-0.03065037152683656
als,15.0,81,0.018850956874984823
als,15.0,82,0.035589343382207594
als,15.0,83,0.008883718338729923
als,15.0,84,0.0023367023486633182
als,15.0,85,0.005543729160838301
als,15.0,86,0.005684868459609607
als,15.0,87,-0.003576148446993428
