term,b_ols,se_ols,b_mixed,se_mixed,z,p,se_ratio,ci_lo,ci_hi
temp,0.6267986314316119,0.04039714497340176,0.6722368057551465,0.03694600673423062,18.1951140373803,5.6421596567843505e-74,0.9145697488908329,0.5998226325560545,0.7446509789542386
gain,0.17718740025236532,0.04039714497340177,0.14934034956252112,0.06907018246568065,2.1621536853000904,0.030606332119963834,1.7097788101401161,0.013962791929787055,0.2847179071952552
_var,,,0.1968374519737072,0.34277057016744017,0.36477858722830414,,,,
