slug,nu,form,is_best,k,loglik,aic,bic,cv_per_cell,dCV_vs_best,paired_z,heldout_rmse
ALL_B_14-25_mrc2,8,poly4-gvarying,False,402952.0,1944292.10890169,-3082682.21780338,1766460.59705604,,,,
ALL_B_14-25_mrc2,8,poly6-gvarying,False,402956.0,1944753.7717678093,-3083597.543535619,1765593.4076263774,,,,
ALL_B_14-25_mrc2,8,spline4-gvarying,False,402950.0,1944489.4107502613,-3083080.821500523,1766037.9252076084,0.9263304986075572,0.0005396498601877298,5.0174874887232574,0.0845664591010915
ALL_B_14-25_mrc2,8,spline5-gvarying,False,402952.0,1944756.5752248163,-3083611.1504496327,1765531.6644097874,0.9265087549045364,0.000361393563208523,5.101517777600242,0.0855309596383838
ALL_B_14-25_mrc2,8,spline6-gvarying,True,402954.0,1944795.2005469224,-3083684.4010938453,1765482.4819168623,0.926870148467745,0.0,,0.0854549716374979
ALL_B_14-25_mrc2,8,spline4-gscalar,False,402948.0,1941633.3734534392,-3077372.7469068784,1771721.9316499652,0.9231249692995274,0.003745179168217594,14.4530359555857,0.0874818634444117
ALL_B_14-25_mrc2,8,spline4-goff,False,402947.0,1925025.8441159164,-3044159.688231833,1804922.956249367,,,,
ALL_B_14-25_mrc2,8,[baseline no-aging],False,,1914942.6116758336,-3023999.223351668,1825047.3189026,0.9076832922454944,0.01918685622225058,23.941868150010826,0.0827387387154908
ALL_M_14-25_mrc2,8,poly4-gvarying,False,278255.0,1336712.7227558466,-2116917.445511693,1129820.735072786,,,,
ALL_M_14-25_mrc2,8,poly6-gvarying,False,278259.0,1337051.9246843285,-2117587.8493686565,1129197.0042294087,,,,
ALL_M_14-25_mrc2,8,spline4-gvarying,False,278253.0,1336848.2409839053,-2117192.4819678105,1129522.3621098758,0.9218371652142808,0.00045479462249475855,5.874529899236632,0.0862788025839053
ALL_M_14-25_mrc2,8,spline5-gvarying,True,278255.0,1337035.4531403724,-2117562.906280745,1129175.2743037343,0.9222919598367756,0.0,,0.087339287220293
ALL_M_14-25_mrc2,8,spline6-gvarying,False,278257.0,1337057.203678778,-2117602.407357556,1129159.1097337166,0.9220640940608814,0.000227865775894176,1.723977468861231,0.087406857100758
ALL_M_14-25_mrc2,8,spline4-gscalar,False,278251.0,1334648.7609302877,-2112797.521860576,1133893.9857103182,0.9183274768167042,0.003964483020071352,6.559951828280149,0.0898261248218076
ALL_M_14-25_mrc2,8,spline4-goff,False,278250.0,1322111.550329987,-2087725.100659974,1158954.738657523,,,,
ALL_M_14-25_mrc2,8,[baseline no-aging],False,,1314519.599961553,-2072547.199923106,1174097.6346342014,0.9001448927143756,0.0221470671224,29.98365559339887,0.0839169195887288
ALL_W_14-25_mrc2,8,poly4-gvarying,False,124995.0,608866.2259029944,-967744.4518059888,388519.9463314544,,,,
ALL_W_14-25_mrc2,8,poly6-gvarying,False,124999.0,609009.0968649159,-968022.1937298318,388285.606951674,,,,
ALL_W_14-25_mrc2,8,spline4-gvarying,False,124993.0,608930.9059948389,-967877.8119896778,388364.8848757341,0.9383376262609052,0.00016904638602477373,0.7156722487489393,0.0810371555246142
ALL_W_14-25_mrc2,8,spline5-gvarying,False,124995.0,609020.3237600366,-968052.6475200732,388211.75061737,0.9381250159990326,0.00038165664789735487,4.4796554869802465,0.0817770253821591
ALL_W_14-25_mrc2,8,spline6-gvarying,True,124997.0,609043.4489677127,-968094.8979354254,388191.2014740491,0.93850667264693,0.0,,0.0816718927877643
ALL_W_14-25_mrc2,8,spline4-gscalar,False,124991.0,608278.4850874871,-966576.9701749744,389644.0254184066,0.935796152399622,0.0027105202473080015,3.64377276336298,0.082673391003991
ALL_W_14-25_mrc2,8,spline4-goff,False,124990.0,604023.2523325715,-958068.5046651432,398141.64029222215,,,,
ALL_W_14-25_mrc2,8,[baseline no-aging],False,,601485.1931232751,-952998.38624655,403179.20680276817,0.9221696835851692,0.016336989061760843,14.054344018269664,0.0800199152815347
Po10_B_14-25_mrc2,8,poly4-gvarying,False,50144.0,266168.83956695936,-432051.6791339187,75652.35643100669,0.911745387406104,0.00670477525407398,7.522052283401456,0.0900047611760839
Po10_B_14-25_mrc2,8,poly6-gvarying,False,50148.0,266208.5924821581,-432123.1849643162,75621.35109204892,0.9116046425775456,0.006845520082632395,16.448144710337946,0.0899740843770988
Po10_B_14-25_mrc2,8,spline4-gvarying,False,50142.0,266171.26717785234,-432060.5343557047,75623.25096350093,0.911079379004462,0.007370783655715973,14.941031101427814,0.0900217399206299
Po10_B_14-25_mrc2,8,spline5-gvarying,False,50144.0,266204.4393379151,-432122.8786758302,75581.1568890952,0.9122871574573094,0.00616300520286861,8.7352284439121,0.08991929731313
Po10_B_14-25_mrc2,8,spline6-gvarying,False,50146.0,266207.0680849428,-432124.1361698855,75600.14964075969,0.911434897841214,0.007015264818963973,10.877328959046698,0.089984569595671
Po10_B_14-25_mrc2,8,spline4-gscalar,False,50140.0,266088.2249492237,-431898.4498984474,75765.08517503832,0.9095112028987392,0.00893895976143877,25.430928721122942,0.0901453937595423
Po10_B_14-25_mrc2,8,spline4-goff,False,50139.0,261155.41837209283,-422034.83674418565,85618.5732064402,,,,
Po10_B_14-25_mrc2,8,poly2-gvarying,True,50140.0,265993.78639298584,-431709.5727859717,75953.962287514,0.918450162660178,0.0,,0.0894477945265564
Po10_B_14-25_mrc2,8,[baseline no-aging],False,,259356.42044223344,-418442.8408844669,89180.1936975792,0.8834719671259947,0.03497819553418324,20.727834680135977,0.0921798053536736
Po10_M_14-25_mrc2,8,poly4-gvarying,False,32283.0,169515.69309104144,-274467.3861820829,38920.91543725616,0.8789983381632945,0.0046789216831144564,6.81621730868608,0.093820964126984
Po10_M_14-25_mrc2,8,poly6-gvarying,False,32287.0,169541.27851968768,-274510.55703937536,38916.57591651275,0.878007461518115,0.005669798328293951,5.309625524464242,0.0938898184256991
Po10_M_14-25_mrc2,8,spline4-gvarying,False,32281.0,169519.4547066139,-274478.9094132278,38889.97653783666,0.8782223627626911,0.005454897083717936,14.841877214210719,0.0938618977475645
Po10_M_14-25_mrc2,8,spline5-gvarying,False,32283.0,169536.31992517752,-274508.63985035504,38879.66176898399,0.8784387798213855,0.005238480025023473,5.7615940879144905,0.0938531581237136
Po10_M_14-25_mrc2,8,spline6-gvarying,False,32285.0,169539.05970770784,-274510.1194154157,38897.59787219786,0.8788128373938838,0.004864422452525163,3.9697294652118074,0.093809542288454
Po10_M_14-25_mrc2,8,spline4-gscalar,False,32279.0,169458.9882035734,-274361.9764071468,38987.49387564318,0.8761334500419222,0.007543809804486767,10.695622251789056,0.0940231739338835
Po10_M_14-25_mrc2,8,spline4-goff,False,32278.0,166046.85554743238,-267539.7110948648,45800.05135378789,,,,
Po10_M_14-25_mrc2,8,poly2-gvarying,True,32279.0,169391.26125616982,-274226.52251233964,39122.94777045032,0.883677259846409,0.0,,0.093455785527701
Po10_M_14-25_mrc2,8,[baseline no-aging],False,,164759.0464537008,-264970.0929074016,48340.54603883921,0.8498114794928187,0.033865780353590336,13.985288714083397,0.0960897975810457
Po10_W_14-25_mrc2,8,poly4-gvarying,False,17890.0,95768.56873356109,-155759.13746712214,5839.150087388145,0.9728345870757622,0.004480600140915225,3.447253038961173,0.0818712857684857
Po10_W_14-25_mrc2,8,poly6-gvarying,False,17894.0,95784.7280571038,-155783.45611420763,5850.964994454291,0.9695752839215273,0.0077399032951501745,5.872582772537207,0.0821419561744353
Po10_W_14-25_mrc2,8,spline4-gvarying,False,17888.0,95766.10749656692,-155758.21499313385,5822.005784300651,0.9724537337065696,0.004861453510107805,3.7778034361184596,0.0819342386941073
Po10_W_14-25_mrc2,8,spline5-gvarying,False,17890.0,95784.55289647856,-155791.1057929571,5807.181761553191,0.970033130566339,0.007282056650338431,6.477431528037148,0.0821579131438012
Po10_W_14-25_mrc2,8,spline6-gvarying,False,17892.0,95785.30627365915,-155788.6125473183,5827.741784267768,0.97021319959458,0.007101987622097461,5.765266362324825,0.0821394483210847
Po10_W_14-25_mrc2,8,spline4-gscalar,False,17886.0,95739.5815911002,-155709.16318220043,5852.990818158258,0.9706673599275386,0.006647827289138819,6.163728111438036,0.0820577631254881
Po10_W_14-25_mrc2,8,spline4-goff,False,17885.0,94228.91298236964,-152689.82596473926,8863.294647081551,,,,
Po10_W_14-25_mrc2,8,poly2-gscalar,True,17885.0,95693.42600466248,-155618.85200932494,5934.268602495868,0.9773151872166774,0.0,,0.0815149511018308
Po10_W_14-25_mrc2,8,[baseline no-aging],False,,93712.28910219103,-151662.57820438207,9863.442241825018,0.9417467935047772,0.03556839371190024,14.28636715542005,0.0840771926657264
