slug,slice,solver,nu,cand,basis,gamma_form,full_loglik,full_aic,full_bic,n_params,n_iter,converged,cv_logdens,cv_per_cell,heldout_rmse,n_test_total,n_orphan_total
ALL_W_14-25_mrc2,ALL_W,anderson,inf,spline6-gvarying,spline6,varying,579596.5928562806,-909201.1857125612,447084.9136969133,124997,57,True,322711.6825902044,0.8469433788594745,0.0782928202644355,381031,0
ALL_W_14-25_mrc2,ALL_W,anderson,8.0,spline6-gvarying,spline6,varying,609045.8945702952,-968099.7891405904,388186.31026888406,124997,167,True,357600.1359853324,0.93850667264693,0.0816718927877643,381031,0
Po10_B_14-25_mrc2,Po10_B,anderson,inf,poly2-gscalar,poly2,scalar,247740.44782953133,-395204.89565906266,112448.5142915632,50139,10,True,145553.8740538628,0.7891322977417092,0.0893107982656357,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,8.0,poly2-gscalar,poly2,scalar,265946.1511326193,-431616.3022652386,76037.10768538725,50139,296,True,168735.94699751248,0.9148158125732592,0.0896763268596554,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,inf,poly2-gvarying,poly2,varying,247766.2170087364,-395254.4340174728,112409.10105601283,50140,10,True,145553.4790542062,0.7891301562185884,0.089303570556461,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,8.0,poly2-gvarying,poly2,varying,265996.1400212819,-431714.2800425638,75949.2550309219,50140,196,True,169406.29560234453,0.918450162660178,0.0894477945265564,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,inf,poly3-gscalar,poly3,scalar,247822.3809576139,-395366.7619152278,112296.77315825789,50140,10,True,145426.29091799108,0.7884405952788378,0.0893136069795912,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,8.0,poly3-gscalar,poly3,scalar,266053.3665368004,-431828.7330736008,75834.80199988489,50140,259,True,168060.2812522449,0.911152635172216,0.0900317384961895,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,inf,poly3-gvarying,poly3,varying,247875.94504736405,-395469.8900947281,112213.89522447751,50142,11,True,145452.53572627087,0.7885828836651569,0.0892932519112091,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,8.0,poly3-gvarying,poly3,varying,266130.6451647006,-431979.2903294012,75704.49498980446,50142,254,True,168320.21909110175,0.912561909541452,0.0899017884767549,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,inf,poly4-gscalar,poly4,scalar,247848.73980219453,-395417.47960438905,112256.1805919566,50141,11,True,145390.09156336257,0.7882443375008814,0.0893136692499614,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,8.0,poly4-gscalar,poly4,scalar,266087.4969539429,-431894.99390788574,75778.6662884599,50141,265,True,167868.68135421336,0.9101138605689048,0.0901009889221846,184448,0
Po10_B_14-25_mrc2,Po10_B,anderson,inf,poly4-gvarying,poly4,varying,247905.86032248475,-395525.7206449695,112178.31491995593,50144,11,True,145421.67446772772,0.7884155668141033,0.0892912607064195,184448,0
