slug,slice,nu,cand,basis,gamma_form,solver,init,seed,loglik,aic,bic,n_params,n_iter,converged,wall_s
ALL_B_14-25_mrc2,ALL_B,inf,poly5-gvarying,poly5,varying,anderson,rand0,0.0,1833871.4066508915,-2861836.813301783,1987330.0697089247,402954,51,True,22.559297399944622
ALL_B_14-25_mrc2,ALL_B,inf,poly5-gvarying,poly5,varying,anderson,rand1,1.0,1833871.397245712,-2861836.794491424,1987330.088519284,402954,39,True,18.825438999920152
ALL_B_14-25_mrc2,ALL_B,inf,poly6-goff,poly6,off,anderson,mean,,1822986.905553251,-2840075.811106502,2009042.935601629,402950,47,True,15.87722450005822
ALL_B_14-25_mrc2,ALL_B,inf,poly6-goff,poly6,off,anderson,rand0,0.0,1822986.905315169,-2840075.8106303373,2009042.936077794,402950,48,True,17.090673999977298
ALL_B_14-25_mrc2,ALL_B,inf,poly6-goff,poly6,off,anderson,rand1,1.0,1822986.905694855,-2840075.81138971,2009042.9353184216,402950,45,True,14.46580789994914
ALL_B_14-25_mrc2,ALL_B,inf,poly6-gscalar,poly6,scalar,anderson,mean,,1827570.178675128,-2849240.357350256,1999890.4234335204,402951,49,True,17.91235679993406
ALL_B_14-25_mrc2,ALL_B,inf,poly6-gscalar,poly6,scalar,anderson,rand0,0.0,1827570.1785386612,-2849240.357077323,1999890.4237064533,402951,45,True,16.78618189995177
ALL_B_14-25_mrc2,ALL_B,inf,poly6-gscalar,poly6,scalar,anderson,rand1,1.0,1827570.1786655588,-2849240.3573311176,1999890.4234526583,402951,48,True,15.694534700014628
ALL_B_14-25_mrc2,ALL_B,inf,poly6-gvarying,poly6,varying,anderson,mean,,1834036.0226397596,-2862162.0452795187,1987028.9058824775,402956,36,True,16.47545040003024
ALL_B_14-25_mrc2,ALL_B,inf,poly6-gvarying,poly6,varying,anderson,rand0,0.0,1834036.0322806009,-2862162.0645612017,1987028.8866007947,402956,51,True,23.52026919997297
ALL_B_14-25_mrc2,ALL_B,inf,poly6-gvarying,poly6,varying,anderson,rand1,1.0,1834036.0222558489,-2862162.0445116973,1987028.9066502992,402956,39,True,17.346518900012597
ALL_B_14-25_mrc2,ALL_B,inf,spline3-goff,spline3,off,anderson,mean,,1822326.1381146084,-2838762.2762292167,2010308.3341763392,402946,48,True,13.574012500001118
ALL_B_14-25_mrc2,ALL_B,inf,spline3-goff,spline3,off,anderson,rand0,0.0,1822326.137832796,-2838762.2756655915,2010308.3347399645,402946,48,True,13.375028899987228
ALL_B_14-25_mrc2,ALL_B,inf,spline3-goff,spline3,off,anderson,rand1,1.0,1822326.138056743,-2838762.276113486,2010308.33429207,402946,50,True,13.607705399976112
ALL_B_14-25_mrc2,ALL_B,inf,spline3-gscalar,spline3,scalar,anderson,mean,,1826957.7461869367,-2848023.492373873,2001059.1521073263,402947,53,True,15.950607599923387
ALL_B_14-25_mrc2,ALL_B,inf,spline3-gscalar,spline3,scalar,anderson,rand0,0.0,1826957.7461866564,-2848023.492373313,2001059.152107887,402947,46,True,13.29450530000031
ALL_B_14-25_mrc2,ALL_B,inf,spline3-gscalar,spline3,scalar,anderson,rand1,1.0,1826957.7464657407,-2848023.492931481,2001059.1515497183,402947,56,True,16.676425299956463
ALL_B_14-25_mrc2,ALL_B,inf,spline3-gvarying,spline3,varying,anderson,mean,,1828995.5071682977,-2852097.014336596,1996997.6642202483,402948,36,True,11.807528000092134
ALL_B_14-25_mrc2,ALL_B,inf,spline3-gvarying,spline3,varying,anderson,rand0,0.0,1828995.5190991112,-2852097.0381982224,1996997.6403586213,402948,48,True,17.370904100011103
ALL_B_14-25_mrc2,ALL_B,inf,spline3-gvarying,spline3,varying,anderson,rand1,1.0,1828995.50653966,-2852097.013079319,1996997.6654775245,402948,39,True,13.89797109994106
ALL_B_14-25_mrc2,ALL_B,inf,spline4-goff,spline4,off,anderson,mean,,1822830.7008413733,-2839769.4016827466,2009313.2427984527,402947,46,True,17.304870500112884
ALL_B_14-25_mrc2,ALL_B,inf,spline4-goff,spline4,off,anderson,rand0,0.0,1822830.7003352048,-2839769.400670409,2009313.2438107904,402947,48,True,14.770745300105771
ALL_B_14-25_mrc2,ALL_B,inf,spline4-goff,spline4,off,anderson,rand1,1.0,1822830.7008309888,-2839769.401661977,2009313.2428192224,402947,48,True,14.72962210001424
ALL_B_14-25_mrc2,ALL_B,inf,spline4-gscalar,spline4,scalar,anderson,mean,,1827413.5892930368,-2848933.178586073,2000161.4999707704,402948,48,True,15.398514600005
ALL_B_14-25_mrc2,ALL_B,inf,spline4-gscalar,spline4,scalar,anderson,rand0,0.0,1827413.5890570348,-2848933.1781140696,2000161.500442774,402948,46,True,13.878574799979106
ALL_B_14-25_mrc2,ALL_B,inf,spline4-gscalar,spline4,scalar,anderson,rand1,1.0,1827413.5893313987,-2848933.178662797,2000161.4998940465,402948,47,True,14.00925250002183
ALL_B_14-25_mrc2,ALL_B,inf,spline4-gvarying,spline4,varying,anderson,mean,,1829505.563390952,-2853113.126781904,1996005.6199262275,402950,51,True,18.100624299957417
ALL_B_14-25_mrc2,ALL_B,inf,spline4-gvarying,spline4,varying,anderson,rand0,0.0,1829505.563267621,-2853113.126535242,1996005.6201728892,402950,48,True,16.146560399909504
ALL_B_14-25_mrc2,ALL_B,inf,spline4-gvarying,spline4,varying,anderson,rand1,1.0,1829505.563464729,-2853113.126929458,1996005.6197786727,402950,53,True,17.560100200003944
ALL_B_14-25_mrc2,ALL_B,inf,spline5-goff,spline5,off,anderson,mean,,1822948.735983686,-2840003.471967372,2009091.2065894715,402948,47,True,14.203440200071782
ALL_B_14-25_mrc2,ALL_B,inf,spline5-goff,spline5,off,anderson,rand0,0.0,1822948.7356048352,-2840003.4712096704,2009091.2073471728,402948,48,True,14.414014099980704
ALL_B_14-25_mrc2,ALL_B,inf,spline5-goff,spline5,off,anderson,rand1,1.0,1822948.7359923911,-2840003.4719847823,2009091.2065720612,402948,46,True,13.19836869998835
ALL_B_14-25_mrc2,ALL_B,inf,spline5-gscalar,spline5,scalar,anderson,mean,,1827532.0626489604,-2849168.125297921,1999938.5873345667,402949,50,True,16.7296411000425
ALL_B_14-25_mrc2,ALL_B,inf,spline5-gscalar,spline5,scalar,anderson,rand0,0.0,1827532.0625184504,-2849168.125036901,1999938.587595587,402949,46,True,14.927214200026356
ALL_B_14-25_mrc2,ALL_B,inf,spline5-gscalar,spline5,scalar,anderson,rand1,1.0,1827532.0626968036,-2849168.1253936067,1999938.5872388808,402949,48,True,14.967429299955256
ALL_B_14-25_mrc2,ALL_B,inf,spline5-gvarying,spline5,varying,anderson,mean,,1830643.5545924376,-2855385.109184875,1993757.705674545,402952,53,True,19.274437900050543
ALL_B_14-25_mrc2,ALL_B,inf,spline5-gvarying,spline5,varying,anderson,rand0,0.0,1830643.5545251924,-2855385.1090503847,1993757.7058090356,402952,47,True,17.413789200014435
ALL_B_14-25_mrc2,ALL_B,inf,spline5-gvarying,spline5,varying,anderson,rand1,1.0,1830643.5546299347,-2855385.109259869,1993757.7055995504,402952,53,True,17.57612869993318
ALL_B_14-25_mrc2,ALL_B,inf,spline6-goff,spline6,off,anderson,mean,,1822963.698595385,-2840031.39719077,2009075.3154417172,402949,47,True,15.127772400039248
ALL_B_14-25_mrc2,ALL_B,inf,spline6-goff,spline6,off,anderson,rand0,0.0,1822963.698312371,-2840031.396624742,2009075.3160077452,402949,47,True,14.195996099966578
ALL_B_14-25_mrc2,ALL_B,inf,spline6-goff,spline6,off,anderson,rand1,1.0,1822963.6986740355,-2840031.3973480705,2009075.315284417,402949,45,True,13.301808300078848
ALL_B_14-25_mrc2,ALL_B,inf,spline6-gscalar,spline6,scalar,anderson,mean,,1827547.25689939,-2849196.51379878,1999922.232909352,402950,49,True,16.77010879991576
ALL_B_14-25_mrc2,ALL_B,inf,spline6-gscalar,spline6,scalar,anderson,rand0,0.0,1827547.256838509,-2849196.5136770187,1999922.2330311127,402950,46,True,15.576912100077609
ALL_B_14-25_mrc2,ALL_B,inf,spline6-gscalar,spline6,scalar,anderson,rand1,1.0,1827547.256824232,-2849196.5136484634,1999922.233059668,402950,49,True,15.99244900001213
ALL_B_14-25_mrc2,ALL_B,inf,spline6-gvarying,spline6,varying,anderson,mean,,1831970.2785631297,-2858034.5571262594,1991132.3258844484,402954,39,True,16.761503100045957
ALL_B_14-25_mrc2,ALL_B,inf,spline6-gvarying,spline6,varying,anderson,rand0,0.0,1831970.2903413812,-2858034.580682763,1991132.302327945,402954,48,True,20.935122199938636
ALL_B_14-25_mrc2,ALL_B,inf,spline6-gvarying,spline6,varying,anderson,rand1,1.0,1831970.2775550429,-2858034.5551100858,1991132.327900622,402954,40,True,16.93756069999654
ALL_B_14-25_mrc2,ALL_B,8.0,poly2-goff,poly2,off,anderson,mean,,1923616.6681795493,-3041343.3363590986,1807727.2740464571,402946,72,True,22.025926299975254
ALL_B_14-25_mrc2,ALL_B,8.0,poly2-goff,poly2,off,anderson,rand0,0.0,1923618.0420977515,-3041346.084195503,1807724.526210053,402946,80,True,21.87951909995172
ALL_B_14-25_mrc2,ALL_B,8.0,poly2-goff,poly2,off,anderson,rand1,1.0,1923618.023591772,-3041346.0471835444,1807724.563222012,402946,67,True,19.426412499975413
ALL_B_14-25_mrc2,ALL_B,8.0,poly2-gscalar,poly2,scalar,anderson,mean,,1940459.0081958408,-3075026.0163916824,1774056.6280895174,402947,96,True,32.13459050003439
ALL_B_14-25_mrc2,ALL_B,8.0,poly2-gscalar,poly2,scalar,anderson,rand0,0.0,1940452.9627714276,-3075013.9255428547,1774068.718938345,402947,72,True,22.07191589998547
ALL_B_14-25_mrc2,ALL_B,8.0,poly2-gscalar,poly2,scalar,anderson,rand1,1.0,1940461.9653459515,-3075031.930691903,1774050.7137892968,402947,70,True,22.058677900000475
ALL_B_14-25_mrc2,ALL_B,8.0,poly2-gvarying,poly2,varying,anderson,mean,,1940838.4056029213,-3075782.8112058425,1773311.8673510011,402948,72,True,23.51300229993649
ALL_B_14-25_mrc2,ALL_B,8.0,poly2-gvarying,poly2,varying,anderson,rand0,0.0,1940836.77821333,-3075779.55642666,1773315.1221301835,402948,85,True,26.436899399966933
ALL_B_14-25_mrc2,ALL_B,8.0,poly2-gvarying,poly2,varying,anderson,rand1,1.0,1940835.892827209,-3075777.785654418,1773316.8929024255,402948,78,True,24.520002600038424
ALL_B_14-25_mrc2,ALL_B,8.0,poly3-goff,poly3,off,anderson,mean,,1924471.047084148,-3043050.094168295,1806032.5503129049,402947,71,True,22.54340379999485
ALL_B_14-25_mrc2,ALL_B,8.0,poly3-goff,poly3,off,anderson,rand0,0.0,1924469.825478528,-3043047.6509570563,1806034.9935241437,402947,81,True,24.843341899919324
ALL_B_14-25_mrc2,ALL_B,8.0,poly3-goff,poly3,off,anderson,rand1,1.0,1924471.2297735496,-3043050.4595471,1806032.1849341,402947,78,True,24.183810400078077
ALL_B_14-25_mrc2,ALL_B,8.0,poly3-gscalar,poly3,scalar,anderson,mean,,1941183.765946203,-3076473.5318924054,1772621.1466644383,402948,72,True,23.173763299942948
ALL_B_14-25_mrc2,ALL_B,8.0,poly3-gscalar,poly3,scalar,anderson,rand0,0.0,1941179.256414085,-3076464.51282817,1772630.1657286738,402948,75,True,23.82997380010784
ALL_B_14-25_mrc2,ALL_B,8.0,poly3-gscalar,poly3,scalar,anderson,rand1,1.0,1941188.7299069911,-3076483.4598139822,1772611.2187428614,402948,73,True,23.23768699995708
ALL_B_14-25_mrc2,ALL_B,8.0,poly3-gvarying,poly3,varying,anderson,mean,,1943165.5574912757,-3080433.114982551,1768685.6317255804,402950,84,True,30.31362839997746
ALL_B_14-25_mrc2,ALL_B,8.0,poly3-gvarying,poly3,varying,anderson,rand0,0.0,1943164.8972576784,-3080431.794515357,1768686.9521927745,402950,76,True,25.743842900032178
ALL_B_14-25_mrc2,ALL_B,8.0,poly3-gvarying,poly3,varying,anderson,rand1,1.0,1943162.829013634,-3080427.658027268,1768691.0886808634,402950,92,True,33.34371339995414
ALL_B_14-25_mrc2,ALL_B,8.0,poly4-goff,poly4,off,anderson,mean,,1924974.382008572,-3044054.764017144,1805039.9145396997,402948,70,True,22.09999150002841
ALL_B_14-25_mrc2,ALL_B,8.0,poly4-goff,poly4,off,anderson,rand0,0.0,1924973.4647851088,-3044052.9295702176,1805041.748986626,402948,80,True,24.57333009992726
ALL_B_14-25_mrc2,ALL_B,8.0,poly4-goff,poly4,off,anderson,rand1,1.0,1924974.2803200977,-3044054.5606401954,1805040.1179166485,402948,75,True,23.20510420005303
ALL_B_14-25_mrc2,ALL_B,8.0,poly4-gscalar,poly4,scalar,anderson,mean,,1941588.276046439,-3077280.552092878,1771826.1605396094,402949,70,True,23.99887939996552
ALL_B_14-25_mrc2,ALL_B,8.0,poly4-gscalar,poly4,scalar,anderson,rand0,0.0,1941583.9493283092,-3077271.898656619,1771834.8139758687,402949,72,True,23.71090850001201
ALL_B_14-25_mrc2,ALL_B,8.0,poly4-gscalar,poly4,scalar,anderson,rand1,1.0,1941591.7565947415,-3077287.5131894834,1771819.199443004,402949,70,True,24.340559700038284
ALL_B_14-25_mrc2,ALL_B,8.0,poly4-gvarying,poly4,varying,anderson,mean,,1944290.4340165744,-3082678.8680331493,1766463.9468262708,402952,68,True,24.85844199999701
ALL_B_14-25_mrc2,ALL_B,8.0,poly4-gvarying,poly4,varying,anderson,rand0,0.0,1944292.10890169,-3082682.21780338,1766460.59705604,402952,66,True,26.409538499894552
ALL_B_14-25_mrc2,ALL_B,8.0,poly4-gvarying,poly4,varying,anderson,rand1,1.0,1944290.479555836,-3082678.959111672,1766463.8557477482,402952,75,True,27.744468900025826
ALL_B_14-25_mrc2,ALL_B,8.0,poly5-goff,poly5,off,anderson,mean,,1925168.2534530663,-3044440.506906133,1804666.2057263544,402949,72,True,23.74981870001648
