slice,slug,solver,nu,source,full_loglik,full_aic,full_bic,n_iter,converged,cv_logdens,cv_per_cell,heldout_rmse,n_test_total,is_selected
Po10_M,Po10_M_14-25_mrc2,anderson,inf,grid,153370.0924374694,-242192.1848749388,71118.45407130203,7.0,True,89285.37933865521,0.734738144656478,0.09577580234189342,121520,False
Po10_M,Po10_M_14-25_mrc2,anderson,15.0,grid,160871.50210491492,-257195.00420982984,56115.63473641098,41.0,True,100515.50193388463,0.8271519250648834,0.09548185097507471,121520,False
Po10_M,Po10_M_14-25_mrc2,anderson,10.0,grid,163283.11874645605,-262018.2374929121,51292.401453328726,525.0,True,102389.87473278429,0.8425763226858483,0.09581848743952295,121520,False
Po10_M,Po10_M_14-25_mrc2,anderson,8.0,grid,164759.0464537008,-264970.0929074016,48340.54603883921,742.0,True,103269.09098796733,0.8498114794928187,0.0960897975810457,121520,False
Po10_M,Po10_M_14-25_mrc2,anderson,6.0,grid,166801.70140226872,-269055.40280453744,44255.23614170338,690.0,True,103786.03734701026,0.8540654817890904,0.09664076284001949,121520,False
Po10_M,Po10_M_14-25_mrc2,anderson,5.0,grid,168154.4351578412,-271760.8703156824,41549.76863055845,599.0,True,103747.41594727192,0.8537476625022377,0.09704700890365989,121520,False
Po10_M,Po10_M_14-25_mrc2,anderson,4.0,grid,169831.39945869302,-275114.79891738604,38195.840028854785,720.0,True,103102.45816200809,0.8484402416228447,0.0976252607663332,121520,False
Po10_M,Po10_M_14-25_mrc2,anderson,3.0,grid,171941.6598524658,-279335.3197049316,33975.31924130925,677.0,True,100858.13347503412,0.8299714736260214,0.09851676234661563,121520,False
Po10_M,Po10_M_14-25_mrc2,anderson,5.983246561891394,brent,,,,,,103788.34118898504,0.8540844403306866,,121520,False
Po10_M,Po10_M_14-25_mrc2,anderson,6.685333720787763,brent,,,,,,103628.70397462495,0.8527707700347675,,121520,False
Po10_M,Po10_M_14-25_mrc2,anderson,5.586710869787745,brent,,,,,,103816.61143270327,0.8543170789392962,,121520,True
Po10_M,Po10_M_14-25_mrc2,anderson,5.5681193609626565,brent,,,,,,103810.89971594786,0.8542700766618487,,121520,False
Po10_M,Po10_M_14-25_mrc2,anderson,5.7414074111480575,brent,,,,,,103814.89848145781,0.8543029828954725,,121520,False
Po10_M,Po10_M_14-25_mrc2,anderson,5.645301501596827,brent,,,,,,103805.1184591436,0.8542225021325182,,121520,False
Po10_M,Po10_M_14-25_mrc2,anderson,5.609018378910272,brent,,,,,,103815.49561350656,0.8543078967536748,,121520,False
Po10_M,Po10_M_14-25_mrc2,cv,inf,grid,153370.09239274566,-242192.18478549132,71118.4541607495,11.0,True,89285.39628319404,0.7347382840947502,0.09577579632899058,121520,False
Po10_M,Po10_M_14-25_mrc2,cv,15.0,grid,160871.68142931125,-257195.3628586225,56115.27608761832,56.0,True,100515.75516068758,0.8271540088930841,0.09548173419254177,121520,False
Po10_M,Po10_M_14-25_mrc2,cv,10.0,grid,163283.463314765,-262018.92662952997,51291.71231671085,857.0,True,102453.96341872742,0.843103714768988,0.09582522812378477,121520,False
Po10_M,Po10_M_14-25_mrc2,cv,8.0,grid,164759.40185287982,-264970.80370575964,48339.83524048119,1017.0,True,103340.46982478826,0.8503988629426289,0.09609694086731406,121520,False
Po10_M,Po10_M_14-25_mrc2,cv,6.0,grid,166802.15525150456,-269056.3105030091,44254.3284432317,958.0,True,103916.71957182689,0.8551408786358369,0.09661868436266415,121520,False
Po10_M,Po10_M_14-25_mrc2,cv,5.0,grid,168154.96746188062,-271761.93492376123,41548.70402247959,878.0,True,103770.17873185196,0.8539349796893677,0.09705616673949599,121520,False
Po10_M,Po10_M_14-25_mrc2,cv,4.0,grid,169832.03563646926,-275116.0712729385,38194.567673302314,1111.0,True,102998.31491072664,0.8475832365925496,0.0976766720296355,121520,False
Po10_M,Po10_M_14-25_mrc2,cv,3.0,grid,171942.48264034686,-279336.9652806937,33973.6736655471,1075.0,True,100787.72368252533,0.8293920645369103,0.09854853770997814,121520,False
Po10_M,Po10_M_14-25_mrc2,cv,5.983246561891394,brent,,,,,,103918.1713336974,0.8551528253266738,,121520,False
Po10_M,Po10_M_14-25_mrc2,cv,6.685333720787763,brent,,,,,,103806.1343212114,0.8542308617611208,,121520,False
Po10_M,Po10_M_14-25_mrc2,cv,5.586710869787745,brent,,,,,,103925.61800802371,0.8552141047401556,,121520,False
Po10_M,Po10_M_14-25_mrc2,cv,5.719379063725885,brent,,,,,,103938.99220996644,0.8553241623598291,,121520,False
Po10_M,Po10_M_14-25_mrc2,cv,5.760747997178353,brent,,,,,,103935.44265096812,0.8552949526906527,,121520,False
Po10_M,Po10_M_14-25_mrc2,cv,5.699354808780866,brent,,,,,,103943.56035777408,0.8553617540962317,,121520,True
Po10_M,Po10_M_14-25_mrc2,cv,5.656063031873357,brent,,,,,,103928.7646718664,0.8552399989455761,,121520,False
Po10_M,Po10_M_14-25_mrc2,cv,5.6803884407173175,brent,,,,,,103936.91341289636,0.8553070557348286,,121520,False
