solver,nu,race_id,v
anderson,inf,15,0.01236431986621043
anderson,inf,16,0.03170880769410566
anderson,inf,17,0.05907642983493581
anderson,inf,18,-0.001967863115925635
anderson,inf,20,0.00013616314309364066
anderson,inf,21,0.05724232146438474
anderson,inf,22,-0.01613148636101399
anderson,inf,23,-0.030446640907748717
anderson,inf,30,-0.020042934303011992
anderson,inf,31,-0.0013377374357611748
anderson,inf,32,0.038083269840581795
anderson,inf,33,-0.0020745780654254273
anderson,inf,35,-0.005381694245118509
anderson,inf,36,0.0545745855553907
anderson,inf,37,0.011847605114366448
anderson,inf,38,0.04552989552530385
anderson,inf,39,0.013581337320235707
anderson,inf,40,-0.0039030837353054883
anderson,inf,41,0.005891724754940216
anderson,inf,42,-0.025617637536799905
anderson,inf,43,-0.05410760528601044
anderson,inf,45,-0.030728756188484523
anderson,inf,47,0.007214635137965482
anderson,inf,48,-0.028919827522023014
anderson,inf,49,-0.030781330241268837
anderson,inf,55,0.006548542880517713
anderson,inf,56,-0.04691763305017673
anderson,inf,59,-0.010452502133473913
anderson,inf,60,-0.026302015062517784
anderson,inf,61,-0.005081409132219514
anderson,inf,64,-0.04048665860299099
anderson,inf,65,-0.009293940601951215
anderson,inf,66,-0.036618594961742135
anderson,inf,67,-0.03505798836532482
anderson,inf,68,-0.011275888152001387
anderson,inf,69,-0.020426810247142452
anderson,inf,70,-0.02979649461414904
anderson,inf,71,-0.03307084988223122
anderson,inf,72,-0.009000163492965787
anderson,inf,73,-0.022141701290311688
anderson,inf,74,-0.010794266878099064
anderson,inf,76,-0.021526148771613837
anderson,inf,77,-0.02880848938925762
anderson,inf,78,-0.04356255661086398
anderson,inf,79,-0.037479066019569754
anderson,inf,80,-0.053041604620671104
anderson,inf,81,0.021064652176105838
anderson,inf,82,0.017443897285023435
anderson,inf,83,0.025373270361726714
anderson,inf,84,0.022258122272169518
anderson,inf,85,0.028873996271176147
anderson,inf,86,-0.015964960593526728
anderson,inf,87,-0.01486646443963724
anderson,inf,88,-0.020731349688984487
anderson,inf,89,-0.023473073592504983
anderson,inf,90,-0.0006681338437664197
anderson,inf,91,-0.04663720903390791
anderson,inf,92,0.0034799363530312525
anderson,inf,93,-0.014009189237573091
anderson,inf,94,-0.009280124952313767
anderson,inf,95,-0.018719912589885306
