comp_id,series_key,year,date,race_country,total_runners,total_men,total_women,dnf_count,mean_time_sec,p1_time_sec,p10_time_sec,p25_time_sec,median_time_sec,p75_time_sec,mean_time,p1_time,p10_time,p25_time,median_time,p75_time,m_top1_sec,m_top3_sec,m_top10_sec,m_top25_sec,w_top1_sec,w_top3_sec,w_top10_sec,w_top25_sec,m_top1,m_top3,m_top10,m_top25,w_top1,w_top3,w_top10,w_top25,sub3_count,sub3_pct,sub4_count,sub4_pct,bq_count,bq_pct,m_sub3_count,m_sub3_pct,m_sub4_count,m_sub4_pct,m_bq_count,m_bq_pct,w_sub3_count,w_sub3_pct,w_sub4_count,w_sub4_pct,w_bq_count,w_bq_pct
452334971,barcelona_marathon,2025,2025-03-16,ESP,22019,16902,5044,865,14013.402515645577,9366.21716,10873.497,12323.777,13863.19,15524.946,03:53:33,02:36:06,03:01:13,03:25:24,03:51:03,04:18:45,7294.993,7494.968,7609.069,8319.589,8373.061,8461.251,9100.333,9992.713,02:01:35,02:04:55,02:06:49,02:18:40,02:19:33,02:21:01,02:31:40,02:46:33,2046,9.291975112402925,13402,60.865616058858265,3360,15.259548571688086,1944,11.501597444089457,11207,66.30576263164123,2598,15.370962016329429,85,1.6851704996034893,2142,42.46629659000793,762,15.107057890563045
469111801,yorkshire_marathon,2025,2025-10-19,GBR,6537,4651,1875,0,15253.068379990822,9932.16,11694.8,13154.0,14858.0,17013.0,04:14:13,02:45:32,03:14:55,03:39:14,04:07:38,04:43:33,8295.0,8626.0,9265.0,9585.0,9538.0,9878.0,10688.0,11340.0,02:18:15,02:23:46,02:34:25,02:39:45,02:38:58,02:44:38,02:58:08,03:09:00,291,4.45158329508949,2904,44.42404772831574,492,7.52638825149151,280,6.020210707374758,2450,52.67684368952913,348,7.482261879165771,11,0.5866666666666667,452,24.10666666666667,144,7.68
473724879,hamburg_marathon,2019,2019-04-28,GER,10101,7771,2326,0,14457.132066132066,9496.0,11627.0,12958.0,14255.0,15901.0,04:00:57,02:38:16,03:13:47,03:35:58,03:57:35,04:25:01,7705.0,7711.0,7867.0,8220.0,8681.0,8875.0,9310.0,9837.0,02:08:25,02:08:31,02:11:07,02:17:00,02:24:41,02:27:55,02:35:10,02:43:57,525,5.197505197505198,5443,53.885753885753886,1130,11.187011187011187,469,6.035259297387724,4615,59.38746622056363,841,10.822287993823188,52,2.235597592433362,824,35.4256233877902,289,12.424763542562339
485645462,cologne_marathon,2018,2018-10-07,GER,11981,7010,4971,253,11317.618562724314,7221.0,7497.0,7986.0,10025.0,14309.0,03:08:38,02:00:21,02:04:57,02:13:06,02:47:05,03:58:29,7200.0,7200.0,7203.0,7206.0,7200.0,7201.0,7205.0,7212.0,02:00:00,02:00:00,02:00:03,02:00:06,02:00:00,02:00:01,02:00:05,02:00:12,6275,52.374593105750776,9117,76.09548451715216,6617,55.22911276187297,2831,40.385164051355204,5151,73.48074179743223,2998,42.76747503566334,3444,69.28183464091731,3966,79.78273989136994,3619,72.8022530677932
492281261,frankfurt_marathon,2024,2024-10-27,GER,10273,7897,2368,0,14155.929523994939,9131.24,10774.0,12283.0,13989.0,15822.0,03:55:56,02:32:11,02:59:34,03:24:43,03:53:09,04:23:42,7554.0,7682.0,7832.0,8398.0,8245.0,8557.0,8743.0,9963.0,02:05:54,02:08:02,02:10:32,02:19:58,02:17:25,02:22:37,02:25:43,02:46:03,1056,10.279373113988125,6010,58.50287160517862,1720,16.74291832960187,989,12.523743193617829,5027,63.65708496897556,1326,16.79118652652906,62,2.6182432432432434,975,41.173986486486484,394,16.638513513513516
497307022,newport_marathon,2025,2025-04-13,GBR,2850,2101,746,0,14271.917543859649,9688.49,10775.8,12195.0,13947.5,16029.5,03:57:52,02:41:28,02:59:36,03:23:15,03:52:28,04:27:10,8877.0,9152.0,9362.0,9615.0,9510.0,10720.0,11474.0,12014.0,02:27:57,02:32:32,02:36:02,02:40:15,02:38:30,02:58:40,03:11:14,03:20:14,299,10.491228070175438,1658,58.175438596491226,461,16.17543859649123,295,14.040932889100427,1367,65.06425511661114,365,17.3726796763446,3,0.40214477211796246,289,38.73994638069705,96,12.868632707774799
508410984,milton_keynes_marathon,2012,2012-04-29,GBR,2936,78,28,0,15586.45946866485,10838.15,12495.5,13760.25,15289.5,17220.5,04:19:46,03:00:38,03:28:16,03:49:20,04:14:50,04:47:00,10402.0,10637.0,11611.0,12912.0,12016.0,13565.0,15161.0,19252.0,02:53:22,02:57:17,03:13:31,03:35:12,03:20:16,03:46:05,04:12:41,05:20:52,24,0.8174386920980926,1090,37.12534059945504,9,0.30653950953678477,3,3.8461538461538463,51,65.38461538461539,7,8.974358974358974,0,0.0,7,25.0,2,7.142857142857142
518319295,sydney_marathon,2025,2025-08-31,AUS,33163,21492,11573,360,15843.253414950397,10020.0,11917.0,13345.5,15298.0,17902.0,04:24:03,02:47:00,03:18:37,03:42:26,04:14:58,04:58:22,7566.0,7607.0,7774.0,8486.0,8038.0,8336.0,9343.0,10151.0,02:06:06,02:06:47,02:09:34,02:21:26,02:13:58,02:18:56,02:35:43,02:49:11,1316,3.968277900069354,13330,40.19539848626481,2919,8.801978108132557,1245,5.7928531546621995,10392,48.352875488553885,1837,8.547366461939326,67,0.5789337250496845,2903,25.08424781819753,1082,9.349347619459087
520197400,valencia_marathon,2025,2025-12-07,ESP,30756,23367,7344,0,13304.31525555989,8794.65,10238.0,11364.0,13046.0,14903.0,03:41:44,02:26:35,02:50:38,03:09:24,03:37:26,04:08:23,7343.0,7493.0,7604.0,7745.0,8039.0,8437.0,8659.0,8994.0,02:02:23,02:04:53,02:06:44,02:09:05,02:13:59,02:20:37,02:24:19,02:29:54,5556,18.064767850175574,21410,69.61243334633893,8230,26.75900637274028,5244,22.441905250994992,17694,75.72217229426114,6442,27.568793597808877,289,3.935185185185185,3677,50.06808278867102,1788,24.34640522875817
521474854,belfast_marathon,2014,2014-05-05,GBR,2330,1754,534,0,15504.037339055794,10575.28,12334.2,13497.75,15186.0,17170.0,04:18:24,02:56:15,03:25:34,03:44:58,04:13:06,04:46:10,8309.0,8528.0,10021.0,10648.0,10700.0,11400.0,12253.0,12898.0,02:18:29,02:22:08,02:47:01,02:57:28,02:58:20,03:10:00,03:24:13,03:34:58,44,1.888412017167382,955,40.987124463519315,80,3.4334763948497855,40,2.280501710376283,841,47.947548460661345,62,3.534777651083238,1,0.18726591760299627,95,17.790262172284642,18,3.3707865168539324
