solver,nu,race_id,v
anderson,inf,1,0.033867329208522694
anderson,inf,2,-0.0303514105924837
anderson,inf,3,-0.033479752999209925
anderson,inf,4,-0.01874622772623585
anderson,inf,5,-0.03627040781516931
anderson,inf,6,0.04072008329359697
anderson,inf,7,0.01701311899837229
anderson,inf,8,0.029189320805378473
anderson,inf,9,0.03409094173067118
anderson,inf,10,0.025708191167247284
anderson,inf,11,0.03999660118804124
anderson,inf,12,0.025312971442653622
anderson,inf,13,0.05148323284447441
anderson,inf,14,0.0805647903695997
anderson,inf,15,0.033368934748887566
anderson,inf,16,0.04187655403538528
anderson,inf,17,0.023686583518776123
anderson,inf,18,-0.009780198331096132
anderson,inf,19,0.01981845659432241
anderson,inf,20,0.005458944718484071
anderson,inf,21,0.01362835491124687
anderson,inf,22,0.00269552121181484
anderson,inf,23,-0.00735962761533889
anderson,inf,24,0.008979162745741063
anderson,inf,25,0.0031521323411050225
anderson,inf,26,0.01247215341866427
anderson,inf,27,0.012684427690696162
anderson,inf,28,0.017348985881589587
anderson,inf,29,-0.0077990558779924566
anderson,inf,30,0.02940055200971713
anderson,inf,31,1.0574957489852381e-05
anderson,inf,32,0.02518169575009167
anderson,inf,33,-0.009645254934646127
anderson,inf,34,-0.029345050961776503
anderson,inf,35,-0.026007944967065197
anderson,inf,36,0.014070282830117692
anderson,inf,37,-0.00673758709562959
anderson,inf,38,0.010420904586893952
anderson,inf,39,0.006347635451587364
anderson,inf,40,0.0064790008351499045
anderson,inf,41,0.012458462513878062
anderson,inf,42,-0.002893709411482957
anderson,inf,43,-0.022289408833177773
anderson,inf,45,-0.00921855492764519
anderson,inf,46,0.001387080719599821
anderson,inf,47,0.001437435498946224
anderson,inf,48,-0.014676182691833116
anderson,inf,49,-0.023384762064049023
anderson,inf,50,0.024103800678043262
anderson,inf,51,0.01323094591602773
anderson,inf,52,0.025467570797184723
anderson,inf,53,-0.0015645287847658716
anderson,inf,54,0.0029269842005425536
anderson,inf,55,-0.02456174759903439
anderson,inf,56,-0.023424517042798753
anderson,inf,57,-0.025025841245272778
anderson,inf,58,-0.014182386716163783
anderson,inf,59,-0.005143429303943028
anderson,inf,60,-0.015962711122064266
anderson,inf,61,-0.01599504828726413
anderson,inf,62,0.0017474789965465653
anderson,inf,64,-0.023320774422440467
anderson,inf,65,-0.02127673907891183
anderson,inf,66,-0.02749707880989734
anderson,inf,67,-0.021063031512842313
anderson,inf,68,-0.009958981709425472
anderson,inf,69,-0.01052846307288388
anderson,inf,70,-0.013393372017865572
anderson,inf,71,-0.019832815087051762
anderson,inf,72,-0.0080439329051923
anderson,inf,73,-0.00969513215561535
anderson,inf,74,-0.012139851581228846
anderson,inf,75,-0.008008514640718492
anderson,inf,76,-0.011223440352826521
anderson,inf,77,-0.018420632326237897
anderson,inf,78,-0.0216797381046357
anderson,inf,79,-0.019359615651258093
anderson,inf,80,-0.02126375954897114
anderson,inf,81,0.005340351851578914
anderson,inf,82,-0.0034811479153587796
anderson,inf,83,0.014489829438403183
anderson,inf,84,0.012587901845985662
anderson,inf,85,0.017362650949840398
anderson,inf,86,-0.011125726449751374
anderson,inf,87,-0.0028608834136981116
anderson,inf,88,-0.011768848958820457
anderson,inf,89,-0.01615331857385271
anderson,inf,90,-0.0085504511942106
anderson,inf,91,-0.021690688814297084
anderson,inf,92,0.010064041762278134
anderson,inf,93,-0.008792198423670078
anderson,inf,94,-0.007976895646209367
anderson,inf,95,-0.012026635508537864
anderson,inf,96,-0.02105265307939227
anderson,inf,97,0.021013111623480855
anderson,inf,98,-0.005789642196689593
anderson,inf,99,0.0441029747190322
anderson,inf,100,0.019483425267280047
anderson,inf,102,0.009971306474604416
anderson,inf,103,0.006361429945175437
anderson,inf,104,0.0031721792206750683
anderson,inf,105,0.0033372292843651358
anderson,inf,106,0.004023440088782563
anderson,inf,107,-0.003446527529341311
anderson,inf,108,-0.002106712152652834
anderson,inf,109,0.0014791599203464942
anderson,inf,110,-0.009174476274210877
anderson,inf,111,0.00355542996878621
anderson,inf,112,0.02356560505438666
anderson,inf,113,0.0203602300738516
anderson,inf,114,0.033783180920200793
anderson,inf,115,0.024833509906499917
anderson,inf,116,-0.02635602331063269
anderson,inf,117,-0.018169089034433438
anderson,inf,118,-0.02164440839799975
anderson,inf,119,4.95464218246367e-05
anderson,inf,120,0.0043788208668854856
anderson,inf,121,0.008125676181382014
anderson,inf,122,0.020733671945748433
anderson,inf,123,-0.010557957097506168
anderson,inf,124,-0.020731103357999377
anderson,inf,125,-0.008244319601419635
