solver,nu,fold,train_loglik,heldout_logdens,heldout_per_cell,heldout_rmse,n_test,n_orphan,n_iter
anderson,inf,0,476289.72024643584,65151.987784294746,0.854284242893788,0.0788292477976476,76265,0,52
anderson,15.0,0,493821.28255081066,70220.19167844547,0.9207394175368185,0.07903448057103846,76265,0,338
anderson,10.0,0,499406.7428025141,70786.93845030447,0.9281707001941188,0.07934105495429815,76265,0,629
anderson,8.0,0,502938.53050097555,70879.64215882396,0.9293862474113153,0.07958931543773205,76265,0,635
anderson,6.0,0,507982.4996393169,70523.81627254689,0.9247205962439767,0.08004825383931695,76265,0,698
anderson,5.0,0,511476.5300915352,69914.80463289045,0.9167351292583813,0.0804104751053164,76265,0,666
anderson,4.0,0,516077.55666291266,68735.37664004264,0.9012702634241478,0.08088690514007223,76265,0,832
anderson,3.0,0,522600.3152048156,65933.71210318776,0.8645343486945225,0.08160524233299263,76265,0,852
anderson,inf,1,476505.94207843684,65183.62841586357,0.858176160090889,0.07874245714975024,75956,0,39
anderson,15.0,1,494009.2207980569,70248.68192493844,0.9248602075535631,0.07905282154809587,75956,0,513
anderson,10.0,1,499586.1236562152,70874.77256789044,0.9331030144806262,0.07935498042187991,75956,0,612
anderson,8.0,1,503110.80159743247,70981.59840495339,0.9345094318415055,0.07962484018383535,75956,0,689
anderson,6.0,1,508144.95097155287,70566.74811310059,0.9290477133221943,0.08014372345563095,75956,0,737
anderson,5.0,1,511631.03380189306,69926.58313619628,0.9206196105139328,0.08053434203817636,75956,0,797
anderson,4.0,1,516219.77874648233,68726.4356750488,0.9048190488578756,0.08104556541068364,75956,0,934
anderson,3.0,1,522725.9963057476,65976.722638053,0.8686176554591212,0.08178386782643689,75956,0,922
anderson,inf,2,477476.5045139898,62931.704064496356,0.825539532007928,0.07958446036790283,76231,0,42
anderson,15.0,2,494724.8755088316,68958.64806120703,0.9046011210820667,0.07968830494316545,76231,0,37
anderson,10.0,2,500466.786528122,69528.27492217015,0.9120734992610637,0.07997589391648662,76231,0,605
anderson,8.0,2,504026.0486778311,69688.02356994901,0.9141690856731384,0.0802083051848095,76231,0,691
anderson,6.0,2,509117.67282451515,69405.68072371853,0.9104653057643023,0.08064415704146413,76231,0,730
anderson,5.0,2,512642.96048337995,68946.04868859844,0.9044358422242715,0.08095697600755453,76231,0,805
anderson,4.0,2,517280.91713201674,67740.44475555903,0.8886207022806867,0.08145659420216224,76231,0,854
anderson,3.0,2,523850.5237916768,64931.31548282495,0.8517704802878744,0.08218965443743921,76231,0,871
anderson,inf,3,477407.5075587038,62490.16854688857,0.8186091744093764,0.07979113789947719,76337,0,48
anderson,15.0,3,494744.99342496,68478.13321023676,0.8970503584138328,0.08012219416391053,76337,0,385
anderson,10.0,3,500359.12044396007,69161.78788579677,0.9060061030142235,0.08049345829753897,76337,0,701
anderson,8.0,3,503913.2640707504,69334.33937383711,0.9082664942798002,0.08076600823619733,76337,0,645
anderson,6.0,3,508978.0228674071,69171.22301368423,0.9061297013726531,0.08120220247216402,76337,0,731
anderson,5.0,3,512473.7567818459,68784.08297986053,0.9010582414800231,0.08152271206764217,76337,0,809
anderson,4.0,3,517062.2946582701,67727.83247485521,0.8872215632636233,0.08200507741900441,76337,0,821
anderson,3.0,3,523544.7485469407,65294.09206887592,0.8553400326037953,0.08266726650202492,76337,0,815
anderson,inf,4,476638.2096189471,64201.15183411531,0.8420706675338437,0.07917861345622522,76242,0,54
anderson,15.0,4,493950.8087829127,69874.81552241798,0.91648717927675,0.07927807576881729,76242,0,37
anderson,10.0,4,499695.3888089511,70342.25219395643,0.9226181395288218,0.07967880355615738,76242,0,630
anderson,8.0,4,503240.5009597631,70491.63319857707,0.9245774402373634,0.07991110736509965,76242,0,630
anderson,6.0,4,508309.9217277098,70200.60065397527,0.9207602194849986,0.08034873750702162,76242,0,749
anderson,5.0,4,511813.079434947,69634.51401450654,0.9133353534076564,0.08072585916086078,76242,0,737
