cohort,sex,nu,mrc,floor,n,slope_per_yr,slope_lo,slope_hi,spearman_d_Ae
ALL,M,8.0,2,5,45607,0.00010510919723131643,9.236456514982224e-05,0.00011925305578665046,0.07399017583031031
ALL,W,8.0,2,5,20286,7.298181246013644e-05,5.4145879272911456e-05,9.204439278435439e-05,0.051653128494153044
Po10,M,8.0,2,5,7393,5.920857200919391e-05,3.124839359627533e-05,8.590567182051301e-05,0.03745531468901835
Po10,W,8.0,2,5,3462,8.026631838152874e-05,4.1011747611184376e-05,0.00011977201782221377,0.06970717890116747
