cohort,sex,n_floor,x,dens,lo,hi,n_draws
ALL,M,3,-0.05361232992182341,0.3195040076421658,0.3158853540815472,0.324475651504377,200
ALL,M,3,0.004924328358907992,0.3177561857373949,0.3139660917358315,0.32264944058241934,200
ALL,M,3,0.0634609866396385,0.3153123320203103,0.3114207645304498,0.3197605360060266,200
ALL,M,3,0.12199764492036902,0.3123469180028479,0.3083642282078362,0.31638726802302086,200
ALL,M,3,0.18053430320109953,0.3090181314606243,0.3050282358690583,0.31281852458287396,200
ALL,M,3,0.23907096148183005,0.30533726330524225,0.3012730822265094,0.30900447453911845,200
ALL,M,3,0.29760761976256056,0.30118793745456895,0.2974864606090536,0.30476300171220294,200
ALL,M,3,0.35614427804329196,0.2964231565341153,0.2926312890280402,0.3003364827902684,200
ALL,M,3,0.4146809363240225,0.29089225240527067,0.2863388253228669,0.2948370440030752,200
ALL,M,3,0.473217594604753,0.28441040483427543,0.2793709144617163,0.28819903994658147,200
ALL,M,3,0.5317542528854835,0.27683175756431344,0.2717562701729184,0.28032705629417615,200
ALL,M,3,0.590290911166214,0.26824970573545054,0.26319738664922016,0.2714777128754495,200
ALL,M,3,0.6488275694469454,0.25909799050797266,0.2544326794449906,0.26223735003291654,200
ALL,M,3,0.7073642277276759,0.24996173142870023,0.24524347293833093,0.2533988386493941,200
ALL,M,3,0.7659008860084064,0.24121658151983222,0.2371271740716893,0.24474399426551813,200
ALL,M,3,0.824437544289137,0.23280909921673318,0.2291579499033627,0.23636048632305384,200
ALL,M,3,0.8829742025698675,0.22437099102220295,0.2206520242802393,0.2277985936421636,200
ALL,M,3,0.941510860850598,0.21557916113699258,0.21195784190663924,0.21911193345531807,200
ALL,M,3,1.0000475191313294,0.20647262268216574,0.20274150718667475,0.21024879754187167,200
ALL,M,3,1.05858417741206,0.1974516553347807,0.19383990687315328,0.2009330456029878,200
ALL,M,3,1.1171208356927904,0.18893025158062157,0.18545375626630423,0.19203767134672706,200
ALL,M,3,1.175657493973521,0.18093665681433832,0.17767992590577292,0.18413333948280403,200
ALL,M,3,1.2341941522542514,0.173048622804899,0.16960246342235627,0.17596804590492673,200
ALL,M,3,1.2927308105349828,0.16474976840321875,0.16139504637006688,0.16738855938534958,200
ALL,M,3,1.3512674688157134,0.15587322747412855,0.15277443665109758,0.15825201640357633,200
ALL,M,3,1.4098041270964439,0.1467157832775956,0.14363530304566693,0.14922857676494172,200
ALL,M,3,1.4683407853771744,0.13776154840355068,0.13507176756824926,0.14044330453091294,200
ALL,M,3,1.526877443657905,0.12934482685306226,0.12605946599808354,0.13210426294699543,200
ALL,M,3,1.5854141019386354,0.12156560393059816,0.11875401791896116,0.12444064465181477,200
ALL,M,3,1.6439507602193668,0.11442375306727323,0.11166731608176453,0.11683318560591574,200
ALL,M,3,1.7024874185000973,0.10792647970791044,0.10546456966765301,0.11023475397506324,200
ALL,M,3,1.7610240767808278,0.10205070654726563,0.09953683911007108,0.10423206464599657,200
ALL,M,3,1.8195607350615584,0.09665581423756915,0.09459931274458515,0.09893308288925544,200
ALL,M,3,1.8780973933422889,0.09148673815192043,0.08922919335252082,0.09419604558438094,200
ALL,M,3,1.9366340516230203,0.08630162215251717,0.08429319315122291,0.08915206098436561,200
ALL,M,3,1.9951707099037508,0.08102925264552324,0.07911226622575807,0.08378272999295915,200
ALL,M,3,2.0537073681844813,0.07580628542036077,0.07398770853755716,0.07837554227188778,200
ALL,M,3,2.112244026465212,0.07083534756961216,0.06898704286399415,0.0733042016676499,200
ALL,M,3,2.1707806847459423,0.06619408828660354,0.06431999266981776,0.06837682066829304,200
ALL,M,3,2.229317343026673,0.06179576689351593,0.05995861450101937,0.06373065627392197,200
ALL,M,3,2.2878540013074042,0.0575313162967022,0.055410479559947455,0.05945889908582665,200
ALL,M,3,2.3463906595881348,0.05340693707074403,0.05138700570686586,0.05522393753730841,200
ALL,M,3,2.4049273178688653,0.04951038566247348,0.04765051837872813,0.05136557556237849,200
ALL,M,3,2.463463976149596,0.04586985238104269,0.04418834510332491,0.04770955466202995,200
ALL,M,3,2.5220006344303263,0.042404961516981976,0.04095541793927359,0.044175517951256744,200
ALL,M,3,2.580537292711057,0.03903369476804572,0.037557801017081935,0.04075843913949299,200
