slug,slice,nu,cand,basis,gamma_form,solver,loglik_best,best_init,loglik_gap_across_inits,max_abs_dv_across_inits,all_converged
ALL_W_14-25_mrc2,ALL_W,8,poly6-gscalar,poly6,scalar,anderson,608330.66077574,mean,6.731122962781228,0.0009157180606426882,True
ALL_W_14-25_mrc2,ALL_W,8,poly6-gvarying,poly6,varying,anderson,609009.0968649159,rand0,4.689089196384884,0.0019981608388805056,True
ALL_W_14-25_mrc2,ALL_W,8,spline3-goff,spline3,off,anderson,603825.022631635,mean,1.6893667946569622,0.002953912901603555,True
ALL_W_14-25_mrc2,ALL_W,8,spline3-gscalar,spline3,scalar,anderson,608115.5691693334,mean,6.164374514948577,0.00113876146045545,True
ALL_W_14-25_mrc2,ALL_W,8,spline3-gvarying,spline3,varying,anderson,608306.1649560139,rand0,4.718387664761394,0.003407342032289375,True
ALL_W_14-25_mrc2,ALL_W,8,spline4-goff,spline4,off,anderson,604023.2523325715,mean,1.8609211444854736,0.0013267807790477704,True
ALL_W_14-25_mrc2,ALL_W,8,spline4-gscalar,spline4,scalar,anderson,608278.4850874871,mean,6.735929129412398,0.0029587640919847384,True
ALL_W_14-25_mrc2,ALL_W,8,spline4-gvarying,spline4,varying,anderson,608930.9059948389,rand0,4.682740403106436,0.0054515531126581845,True
ALL_W_14-25_mrc2,ALL_W,8,spline5-goff,spline5,off,anderson,604077.3916020435,mean,2.411370780551806,0.001979089732720943,True
ALL_W_14-25_mrc2,ALL_W,8,spline5-gscalar,spline5,scalar,anderson,608328.4976469991,mean,6.68402696098201,0.001880757612164604,True
ALL_W_14-25_mrc2,ALL_W,8,spline5-gvarying,spline5,varying,anderson,609020.3237600366,rand0,4.645305061829276,0.0020184910524767945,True
ALL_W_14-25_mrc2,ALL_W,8,spline6-goff,spline6,off,anderson,604085.8359812637,mean,2.3767115582013503,0.0009156657162188928,True
ALL_W_14-25_mrc2,ALL_W,8,spline6-gscalar,spline6,scalar,anderson,608335.4764447496,mean,6.644405770348385,0.0009094301071938884,True
ALL_W_14-25_mrc2,ALL_W,8,spline6-gvarying,spline6,varying,anderson,609043.4489677127,rand0,4.63242260995321,0.0018956899255263941,True
