label,slice_A,slice_B,model,series_key,country,year,race_id,n_j_A,n_j_B,v_A,v_B,dv,r,r_min_at_3h,sd_boot,z,n_boot,rank_A,rank_B,d_rank,flag
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,goldcoast_marathon,AUS,2025,1,1401,604,0.014767,0.01062,0.004148,0.003017,0.543029,0.003613,0.834904,4000,266,260,-6,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,seville_marathon,ESP,2019,66,394,84,-0.027572,-0.021401,-0.006171,-0.004848,-0.872552,0.005932,0.817123,4000,5,12,7,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,yorkshire_marathon,GBR,2023,173,587,271,-0.015567,-0.01134,-0.004227,-0.003721,-0.669694,0.004603,0.808301,4000,73,90,17,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,cologne_marathon,GER,2024,191,1329,361,-0.011391,-0.014422,0.003032,0.002697,0.48553,0.003361,0.802489,4000,108,70,-38,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,milton_keynes_marathon,GBR,2022,160,314,149,0.015159,0.020963,-0.005804,-0.004477,-0.805806,0.005633,0.794684,4000,268,300,32,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,barcelona_marathon,ESP,2021,45,637,163,-0.016289,-0.011362,-0.004927,-0.003441,-0.619403,0.004339,0.793024,4000,65,81,16,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,paris_marathon,FRA,2024,90,7942,2089,-0.016161,-0.013917,-0.002245,-0.002121,-0.381831,0.0027,0.785664,4000,66,71,5,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,edinburgh_marathon,GBR,2024,133,518,291,-0.00203,0.001657,-0.003687,-0.00368,-0.662488,0.004744,0.775893,4000,179,208,29,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,venice_marathon,ITA,2025,253,1419,418,0.006625,0.008038,-0.001413,-0.002911,-0.524047,0.003766,0.773018,4000,233,251,18,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,eindhoven_marathon,NED,2024,317,1155,234,-0.026994,-0.024463,-0.002531,-0.002884,-0.519106,0.003736,0.771992,4000,6,7,1,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,vienna_marathon,AUT,2021,19,232,43,0.027393,0.023459,0.003934,0.005459,0.982672,0.007082,0.770815,4000,319,307,-12,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,copenhagen_marathon,DEN,2019,39,2353,781,0.014268,0.017655,-0.003387,-0.001974,-0.355372,0.002581,0.764983,4000,264,286,22,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,london_marathon,GBR,2025,146,5691,3871,0.022946,0.023091,-0.000145,-0.001058,-0.19051,0.001386,0.763644,4000,307,314,7,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,edinburgh_marathon,GBR,2016,127,459,223,-0.007389,-0.012023,0.004634,0.003997,0.719503,0.005275,0.757752,4000,145,97,-48,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,san_sebastian_marathon,ESP,2022,62,162,28,-0.005066,0.001422,-0.006488,-0.005423,-0.976064,0.00722,0.751037,4000,159,203,44,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,rotterdam_marathon,NED,2018,319,4357,1151,0.019957,0.019059,0.000898,0.001794,0.322972,0.002397,0.74863,4000,294,294,0,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,sydney_marathon,AUS,2022,13,773,264,0.022018,0.019416,0.002602,0.003764,0.677548,0.005032,0.74807,4000,301,295,-6,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,chester_marathon,GBR,2024,123,702,305,-0.009113,-0.012639,0.003526,0.003192,0.574575,0.004277,0.746334,4000,128,87,-41,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,dublin_marathon,IRL,2025,239,151,56,-0.015783,-0.022767,0.006984,0.005486,0.987503,0.007368,0.744589,4000,67,18,-49,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,rotterdam_marathon,NED,2023,323,6091,1662,-0.023861,-0.021706,-0.002155,-0.001309,-0.235691,0.001762,0.743258,4000,18,13,-5,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,milton_keynes_marathon,GBR,2024,162,366,132,0.019152,0.014551,0.004602,0.004656,0.838069,0.006286,0.740732,4000,290,276,-14,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,brighton_marathon,GBR,2022,112,1343,681,0.010342,0.009136,0.001207,0.002557,0.460279,0.003536,0.723207,4000,251,240,-11,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,milton_keynes_marathon,GBR,2015,154,284,91,0.00602,0.010677,-0.004657,-0.006559,-1.180574,0.009325,0.703374,4000,227,265,38,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,zurich_marathon,SUI,2022,351,957,202,-0.008376,-0.004045,-0.004331,-0.002981,-0.536531,0.004298,0.693452,4000,136,149,13,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,malaga_marathon,ESP,2023,59,409,129,-0.002313,-0.004905,0.002592,0.002982,0.536808,0.00434,0.687226,4000,178,150,-28,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,newport_marathon,GBR,2024,168,351,126,-0.009092,-0.004956,-0.004136,-0.004062,-0.731182,0.005913,0.68699,4000,130,155,25,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,copenhagen_marathon,DEN,2016,36,1673,483,0.025198,0.0221,0.003098,0.002441,0.439385,0.003577,0.682462,4000,312,310,-2,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,frankfurt_marathon,GER,2023,199,2571,780,-0.007639,-0.008557,0.000917,0.001396,0.2512,0.00205,0.680787,4000,142,123,-19,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,abingdon_marathon,GBR,2024,94,314,119,-0.001712,-0.005667,0.003955,0.003583,0.645013,0.005345,0.670405,4000,181,151,-30,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,munich_marathon,GER,2019,216,938,248,0.020439,0.018994,0.001445,0.002971,0.53479,0.004473,0.664153,4000,296,291,-5,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,edinburgh_marathon,GBR,2015,126,517,257,-0.00477,-0.010013,0.005244,0.003438,0.618851,0.005186,0.662932,4000,161,127,-34,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,munich_marathon,GER,2024,220,986,219,-0.007455,-0.005162,-0.002293,-0.002646,-0.476198,0.004031,0.656224,4000,144,159,15,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,tokyo_marathon,JPN,2018,288,1598,808,-0.003365,-0.000724,-0.002641,-0.001815,-0.326737,0.002771,0.655069,4000,174,186,12,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,copenhagen_marathon,DEN,2024,42,2635,846,-0.006914,-0.005377,-0.001537,-0.00148,-0.266406,0.002297,0.644295,4000,150,148,-2,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,nyc_marathon,USA,2025,398,12316,9011,0.025932,0.023498,0.002434,0.000912,0.164213,0.001451,0.628675,4000,313,318,5,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,frankfurt_marathon,GER,2025,201,1960,569,-0.017664,-0.01764,-2.4e-05,-0.001522,-0.273918,0.00244,0.623786,4000,51,50,-1,False
