slug,solver,nu,cand,basis,gamma_form,fold,train_loglik,heldout_logdens,heldout_per_cell,heldout_rmse,n_test,n_orphan,n_iter
Po10_W_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,0,75053.03381177859,10305.112352018601,0.831593959975678,0.08178939978234813,12392,0,10
Po10_W_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,0,79914.98022878141,12058.879595373226,0.9731181080837012,0.08172067916405852,12392,0,267
Po10_W_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,1,74933.70324203064,10503.979455862354,0.8521807119797464,0.08127986732708498,12326,0,10
Po10_W_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,1,79746.37857743278,12175.85293141831,0.9878186704055095,0.08131898147248487,12326,0,146
Po10_W_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,2,74848.2221328004,10681.58460752461,0.8624614136071547,0.0809152211245051,12385,0,10
Po10_W_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,2,79775.7317722351,12109.263862715208,0.9777362828191528,0.08136828677746029,12385,0,177
Po10_W_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,3,74608.59002598937,10966.371053582532,0.8835297336112256,0.08034914397348913,12412,0,10
Po10_W_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,3,79518.73645811755,12417.124358062423,1.0004128551452163,0.0804891722446718,12412,0,146
Po10_W_14-25_mrc2,anderson,inf,poly2-gscalar,poly2,scalar,4,75142.74931173444,9992.827418394438,0.8063934327303452,0.08256726166965299,12392,0,10
Po10_W_14-25_mrc2,anderson,8,poly2-gscalar,poly2,scalar,4,80097.25273345847,11741.530547453676,0.9475089208726336,0.08266299007849531,12392,0,162
Po10_W_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,0,75064.2496466397,10306.014468032805,0.8316667582337641,0.08177618254083836,12392,0,11
Po10_W_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,0,79926.45323948469,12032.263217044369,0.9709702402392163,0.08194485440753906,12392,0,275
Po10_W_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,1,74946.02033690513,10500.632991957249,0.8519092156382646,0.08127789975807714,12326,0,11
Po10_W_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,1,79762.04420150783,12176.100721628554,0.987838773456803,0.0813264751626307,12326,0,152
Po10_W_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,2,74861.10805202014,10676.461052895687,0.8620477232858851,0.08091788923288148,12385,0,11
Po10_W_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,2,79792.60634864801,12109.702431899164,0.9777716941380028,0.0813652919341934,12385,0,142
Po10_W_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,3,74621.9960946968,10961.345409528596,0.8831248315765868,0.08035152977756972,12412,0,11
Po10_W_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,3,79542.13593046306,12396.756728810426,0.9987718924275238,0.08054971087148116,12412,0,139
Po10_W_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,4,75150.35977987075,9999.063680468322,0.8068966817679407,0.08254265848989316,12392,0,11
Po10_W_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,4,80107.63629509776,11750.15389443007,0.948204801035351,0.08264034124194855,12392,0,140
Po10_W_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,0,75077.63902108563,10291.643394728486,0.8305070525119824,0.08180341807830198,12392,0,11
Po10_W_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,0,79948.9239577407,12036.716733342824,0.9713296266416095,0.08191683980487154,12392,0,166
Po10_W_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,1,74948.50413523412,10506.575908634524,0.8523913604279185,0.08125868704906784,12326,0,10
