excl_series,series_key,venue_country,n_editions,n_dropped_races,n_dropped_runners,n_common,n_samec,dv_mean,dv_slope,med_abs_dv_s,med_abs_resid_s,share_affine,share_quad,share_resid,c2,R_kill,gauge_real_med_s,gauge_real_max_s,delta_plaus,gauge_plaus_med_s,gauge_plaus_max_s,eps_f,gauge_consistency,d_aging_max_s,d_aging_ident_max_s,max_abs_dgamma,boot_raw_med_s,boot_resid_med_s,ratio_med,ratio_p90,frac_gt2,spearman_raw,spearman_era,samec_raw_s,samec_resid_s,rest_resid_s,sd_boot_samec_s,z_samec,gauge_samec_plaus_s,gauge_samec_real_s,verdict
london,london_marathon,GBR,12,12,15504,318,71,2.3e-05,-0.000906,26.112022,9.515132,0.672081,0.000134,0.327785,4e-06,0.001602,0.396012,1.325328,0.00271,247.161786,827.173272,-3.2e-05,7.273805,96.363886,4.010223,0.000166,32.106896,32.182543,0.367376,1.214915,0.044025,0.97443,0.991636,4.770331,4.881847,-1.403284,6.76142,0.722015,5.763882,-0.111516,NOISE
boston,boston_marathon,USA,11,11,6960,319,22,0.000279,-0.000978,28.672149,3.091775,0.97085,0.000138,0.029012,-4e-06,0.001441,0.354243,1.193499,0.00271,245.912146,828.514646,1.6e-05,4.071092,86.304714,2.497884,9.5e-05,32.201142,32.189566,0.091337,0.502916,0.003135,0.978328,0.999341,9.936465,-4.896978,0.362739,4.724989,-1.0364,39.885157,14.833444,NOISE
valencia,valencia_marathon,ESP,9,10,2952,320,25,-0.000417,-0.000975,31.974481,4.153809,0.815144,0.004715,0.180141,2.6e-05,0.009653,2.457467,7.733129,0.00271,254.5794,801.107538,-5e-06,0.207845,120.246801,2.054951,5.2e-05,31.890459,32.017041,0.154341,0.422869,0.0,0.973288,0.993728,-37.920804,-16.45094,1.394147,13.414916,-1.226317,60.422939,-21.469864,NOISE
