slug,slice,nu,cand,basis,gamma_form,solver,init,seed,loglik,aic,bic,n_params,n_iter,converged,wall_s
Po10_M_14-25_mrc2,Po10_M,inf,poly5-gscalar,poly5,scalar,anderson,mean,,157277.83937527475,-249995.6787505495,63373.20720051497,32281,11,True,0.8749292000429705
Po10_M_14-25_mrc2,Po10_M,inf,poly5-gscalar,poly5,scalar,anderson,rand0,0.0,157277.839373838,-249995.67874767602,63373.20720338845,32281,11,True,0.7478266000980511
Po10_M_14-25_mrc2,Po10_M,inf,poly5-gscalar,poly5,scalar,anderson,rand1,1.0,157277.8393734243,-249995.6787468486,63373.20720421587,32281,11,True,0.7032869999529794
Po10_M_14-25_mrc2,Po10_M,inf,poly5-gvarying,poly5,varying,anderson,mean,,157324.411217375,-250080.82243474998,63326.89485286357,32285,11,True,1.3761832000454888
Po10_M_14-25_mrc2,Po10_M,inf,poly5-gvarying,poly5,varying,anderson,rand0,0.0,157324.41121622975,-250080.8224324595,63326.89485515404,32285,12,True,1.4622889999300241
Po10_M_14-25_mrc2,Po10_M,inf,poly5-gvarying,poly5,varying,anderson,rand1,1.0,157324.4112171469,-250080.8224342938,63326.89485331974,32285,13,True,1.2968867999734357
Po10_M_14-25_mrc2,Po10_M,inf,poly6-goff,poly6,off,anderson,mean,,154387.68505750125,-244215.3701150025,69153.51583606197,32281,10,True,0.5490853999508545
Po10_M_14-25_mrc2,Po10_M,inf,poly6-goff,poly6,off,anderson,rand0,0.0,154387.68505746144,-244215.37011492287,69153.5158361416,32281,10,True,0.6273258000146598
Po10_M_14-25_mrc2,Po10_M,inf,poly6-goff,poly6,off,anderson,rand1,1.0,154387.68505750064,-244215.37011500128,69153.51583606319,32281,10,True,0.5771944000152871
Po10_M_14-25_mrc2,Po10_M,inf,poly6-gscalar,poly6,scalar,anderson,mean,,157286.6918555716,-250011.38371114322,63367.2100740585,32282,11,True,0.6829571999842301
Po10_M_14-25_mrc2,Po10_M,inf,poly6-gscalar,poly6,scalar,anderson,rand0,0.0,157286.69185369322,-250011.38370738644,63367.21007781528,32282,11,True,0.8483440999407321
Po10_M_14-25_mrc2,Po10_M,inf,poly6-gscalar,poly6,scalar,anderson,rand1,1.0,157286.6918534668,-250011.3837069336,63367.21007826814,32282,11,True,0.7923877000575885
Po10_M_14-25_mrc2,Po10_M,inf,poly6-gvarying,poly6,varying,anderson,mean,,157334.31417701254,-250096.62835402507,63330.50460186304,32287,11,True,1.2784175000851974
Po10_M_14-25_mrc2,Po10_M,inf,poly6-gvarying,poly6,varying,anderson,rand0,0.0,157334.31417531468,-250096.62835062935,63330.50460525876,32287,12,True,1.5363335999427363
Po10_M_14-25_mrc2,Po10_M,inf,poly6-gvarying,poly6,varying,anderson,rand1,1.0,157334.31417641917,-250096.62835283834,63330.504603049776,32287,13,True,1.4941838000668213
Po10_M_14-25_mrc2,Po10_M,inf,spline3-goff,spline3,off,anderson,mean,,154339.0579783813,-244126.11595676257,69203.93865775282,32277,9,True,0.26464329997543246
Po10_M_14-25_mrc2,Po10_M,inf,spline3-goff,spline3,off,anderson,rand0,0.0,154339.05797848612,-244126.11595697224,69203.93865754316,32277,9,True,0.29816220002248883
Po10_M_14-25_mrc2,Po10_M,inf,spline3-goff,spline3,off,anderson,rand1,1.0,154339.05797849002,-244126.11595698004,69203.93865753536,32277,9,True,0.3077197000384331
Po10_M_14-25_mrc2,Po10_M,inf,spline3-gscalar,spline3,scalar,anderson,mean,,157245.55847495334,-249937.1169499067,63402.64549874596,32278,10,True,0.3662413000129163
Po10_M_14-25_mrc2,Po10_M,inf,spline3-gscalar,spline3,scalar,anderson,rand0,0.0,157245.55847511822,-249937.11695023644,63402.64549841621,32278,10,True,0.363354199915193
Po10_M_14-25_mrc2,Po10_M,inf,spline3-gscalar,spline3,scalar,anderson,rand1,1.0,157245.55847507934,-249937.11695015867,63402.64549849398,32278,10,True,0.3461525000166148
