excl_series,series_key,venue_country,n_editions,n_dropped_races,n_dropped_runners,n_common,n_samec,dv_mean,dv_slope,med_abs_dv_s,med_abs_resid_s,share_affine,share_quad,share_resid,c2,R_kill,gauge_real_med_s,gauge_real_max_s,delta_plaus,gauge_plaus_med_s,gauge_plaus_max_s,eps_f,gauge_consistency,d_aging_max_s,d_aging_ident_max_s,max_abs_dgamma,boot_raw_med_s,boot_resid_med_s,ratio_med,ratio_p90,frac_gt2,spearman_raw,spearman_era,samec_raw_s,samec_resid_s,rest_resid_s,sd_boot_samec_s,z_samec,gauge_samec_plaus_s,gauge_samec_real_s,verdict
brighton,brighton_marathon,GBR,4,4,2593,343,79,0.000177,-0.001613,49.413764,0.649331,0.997654,3.8e-05,0.002309,3e-06,0.00127,0.311497,1.001937,0.002651,245.177962,788.619483,-7e-06,2.132402,171.725264,0.383492,9e-06,17.744701,17.880395,0.041309,0.144796,0.0,0.942784,0.999732,6.466722,0.412312,-0.123381,4.33805,0.095045,6.219777,6.05441,NOISE
eindhoven,eindhoven_marathon,NED,8,8,2571,339,16,-0.000181,-0.001735,55.024039,0.341963,0.99896,1e-06,0.00104,-1e-06,0.000208,0.051668,0.162522,0.002651,248.532528,781.755267,-1e-06,-2.157103,188.897608,0.322121,4.8e-05,17.729951,17.801967,0.018346,0.076558,0.0,0.934143,0.999919,-9.99488,-1.932281,0.095717,5.619925,-0.343827,86.498462,-8.062599,NOISE
venice,venice_marathon,ITA,3,3,2428,344,11,0.000225,-0.001603,48.694336,0.3619,0.998497,2.2e-05,0.001481,-3e-06,0.000963,0.235404,0.758355,0.002651,244.378311,787.264418,1e-06,0.24398,172.435907,0.298504,6.5e-05,18.176551,18.124822,0.021662,0.084574,0.0,0.943622,0.999901,-39.374307,2.03544,-0.067237,7.88029,0.258295,27.228617,-41.409747,NOISE
edinburgh,edinburgh_marathon,GBR,10,10,2362,337,73,-2.5e-05,-0.0016,49.412064,1.127732,0.993973,2e-06,0.006026,1e-06,0.000251,0.061317,0.201969,0.002651,244.005031,803.713679,-6e-06,8.727066,171.411151,0.30842,1e-06,17.685531,17.621048,0.061349,0.258932,0.0,0.946833,0.999568,0.93563,1.598241,-0.441938,4.688791,0.340864,2.233047,-0.662612,NOISE
zurich,zurich_marathon,SUI,5,5,2312,342,0,-0.000175,-0.001681,52.925936,0.276995,0.999638,0.0,0.000362,0.0,3.3e-05,0.008118,0.025926,0.002651,246.289727,786.605132,-0.0,2.627792,182.153692,0.393313,6e-06,17.726522,17.780549,0.017107,0.093365,0.0,0.939213,0.999952,,,-0.0,,,,,NO-SAMEC
oslo,oslo_marathon,NOR,8,8,1987,339,0,8.8e-05,-0.001657,50.258051,0.52723,0.999137,3e-06,0.00086,-1e-06,0.000375,0.093317,0.294041,0.002651,248.663757,783.532951,-0.0,-0.398387,179.783333,0.119136,1e-06,17.691523,17.592251,0.029683,0.156813,0.0,0.940429,0.999914,,,0.0,,,,,NO-SAMEC
chester,chester_marathon,GBR,9,9,1824,338,74,-0.000192,-0.001621,50.674367,0.815432,0.996554,3e-06,0.003443,-1e-06,0.000363,0.090211,0.284327,0.002651,248.284652,782.539503,-3e-06,-3.490402,175.768064,0.159412,5e-05,17.688527,17.557444,0.049704,0.189141,0.0,0.944086,0.999694,-0.212222,-0.737451,0.20671,4.589487,-0.160683,12.138149,0.525229,NOISE
vienna,vienna_marathon,AUT,7,7,1764,340,0,0.000181,-0.001676,51.045134,0.883459,0.997874,0.0,0.002126,-0.0,0.000119,0.02962,0.093637,0.002651,248.083695,784.270807,2e-06,7.235269,179.873603,0.114025,2e-06,17.737326,17.840828,0.055326,0.16443,0.0,0.938107,0.999843,,,0.0,,,,,NO-SAMEC
tokyo,tokyo_marathon,JPN,9,9,1405,338,0,-0.000122,-0.0016,49.513388,1.156469,0.990035,1.4e-05,0.009951,-2e-06,0.000767,0.187775,0.609459,0.002651,244.903294,794.878539,-8e-06,-3.925375,170.508209,1.671931,0.000175,18.257954,18.315432,0.06051,0.291176,0.0,0.945412,0.999507,,,-0.0,,,,,NO-SAMEC
yorkshire,yorkshire_marathon,GBR,6,6,1239,341,77,-9.9e-05,-0.001672,52.567729,0.450714,0.999254,6e-06,0.00074,1e-06,0.000513,0.126591,0.402765,0.002651,246.67472,784.827474,-4e-06,2.72303,179.372192,0.426818,2.9e-05,17.723094,17.712168,0.02813,0.087955,0.0,0.940115,0.999916,2.859202,-0.664243,0.193738,4.355976,-0.15249,8.247171,3.523445,NOISE
san_sebastian,san_sebastian_marathon,ESP,3,3,1214,344,33,-6.6e-05,-0.001678,53.129742,0.166152,0.999548,0.0,0.000451,-0.0,0.000129,0.031519,0.101267,0.002651,245.168329,787.682765,0.0,1.192444,181.278602,0.045732,3e-06,17.944277,17.895764,0.010255,0.045854,0.0,0.939962,0.999937,-22.024059,-0.472647,0.050152,6.057675,-0.078024,83.915965,-21.551412,NOISE
milton_keynes,milton_keynes_marathon,GBR,11,11,1193,336,72,0.000615,-0.001813,52.98531,0.611965,0.998298,3e-06,0.0017,-1e-06,0.000374,0.090457,0.300597,0.002651,241.979588,804.121155,-3e-06,-3.3019,196.676835,0.302879,1.1e-05,17.603655,17.54332,0.039188,0.140313,0.0,0.927343,0.999796,5.284983,-0.794182,0.216595,4.338653,-0.183048,0.752933,6.079165,NOISE
hannover,hannover_marathon,GER,6,6,1032,341,40,-0.000184,-0.001691,53.139889,0.237319,0.999684,0.0,0.000316,-0.0,7.9e-05,0.019577,0.062104,0.002651,247.437813,784.962133,1e-06,6.181398,182.784211,0.057706,1e-06,17.729951,17.82758,0.012795,0.061131,0.0,0.939387,0.999956,-2.564959,0.617441,-0.082052,3.507656,0.176027,29.263012,-3.1824,NOISE
newport,newport_marathon,GBR,6,6,965,341,77,-0.000267,-0.001664,52.006466,0.433709,0.999115,1e-05,0.000875,2e-06,0.000687,0.170114,0.538994,0.002651,247.627878,784.590279,-2e-06,1.066353,179.071477,0.158523,2.5e-05,17.723094,17.699698,0.02771,0.09433,0.0,0.940653,0.999888,0.250684,-0.284488,0.082976,4.324594,-0.065784,11.511632,0.535172,NOISE
dublin,dublin_marathon,IRL,10,10,504,337,0,-0.000421,-0.001661,50.955933,0.481229,0.991603,7.3e-05,0.008323,-5e-06,0.001815,0.437811,1.44426,0.002651,241.246276,795.828243,-3e-06,-0.5794,180.702884,0.25007,1e-05,17.685531,17.515182,0.029548,0.124042,0.0,0.943523,0.999522,,,0.0,,,,,NO-SAMEC
