slice,race_id,series_key,year,huber_w,std_resid
ALL_B,157,milton_keynes_marathon,2018,0.19151997966068118,4.70035021924195
ALL_B,395,nyc_marathon,2022,0.31140386240781476,2.8908150706268305
ALL_B,370,boston_marathon,2018,0.3202578667352987,2.8108941956105142
ALL_B,364,stockholm_marathon,2024,0.3495970757795758,2.5749957328622273
ALL_B,139,london_marathon,2018,0.37787555106301357,2.3822948473053014
ALL_B,318,eindhoven_marathon,2025,0.48618984519540104,-1.851562691777744
ALL_M,157,milton_keynes_marathon,2018,0.20580191094590472,4.399844905846342
ALL_M,395,nyc_marathon,2022,0.2931429072999805,3.088925118130952
ALL_M,370,boston_marathon,2018,0.3118064098306389,2.90403423751942
ALL_M,364,stockholm_marathon,2024,0.3508663151784623,2.5807450026190732
ALL_M,139,london_marathon,2018,0.3873328286105384,2.337773672931905
ALL_M,155,milton_keynes_marathon,2016,0.5047304830666511,1.7940198185301295
ALL_W,157,milton_keynes_marathon,2018,0.17459091088414425,5.235256693659462
ALL_W,395,nyc_marathon,2022,0.3461906705290743,2.6402451390286794
ALL_W,370,boston_marathon,2018,0.3605204757536351,2.5353018673915653
ALL_W,139,london_marathon,2018,0.37472283397290096,2.4392114698033955
ALL_W,364,stockholm_marathon,2024,0.3903812383652394,2.341373367820373
ALL_W,340,cape_town_marathon,2023,0.4627178409056947,-1.9753468610802356
Po10_B,157,milton_keynes_marathon,2018,0.26183834799497324,3.4487273039807596
Po10_B,364,stockholm_marathon,2024,0.31618582047537597,2.8559441999278636
Po10_B,370,boston_marathon,2018,0.35683851877714295,2.5305817946362037
Po10_B,395,nyc_marathon,2022,0.38844255128023414,2.324691404633177
Po10_B,139,london_marathon,2018,0.4982601670092217,1.812324403928624
Po10_B,17,vienna_marathon,2018,0.5292502879418337,1.7062041927543878
Po10_M,157,milton_keynes_marathon,2018,0.2850261431017357,3.0739214297177555
Po10_M,370,boston_marathon,2018,0.33703431363614117,2.599580915159282
Po10_M,395,nyc_marathon,2022,0.3891488225232192,2.251447052966923
Po10_M,364,stockholm_marathon,2024,0.40085928637534446,2.1856746222628494
Po10_M,56,malaga_marathon,2019,0.41738946449031894,-2.0991137597164857
Po10_M,139,london_marathon,2018,0.5177206984823026,1.692317829879798
Po10_W,157,milton_keynes_marathon,2018,0.23673930639167626,3.633692324453265
Po10_W,370,boston_marathon,2018,0.38727448747874726,2.2212612201726736
Po10_W,395,nyc_marathon,2022,0.4540024638556405,1.8947866351725775
Po10_W,61,malaga_marathon,2025,0.48714752050028026,-1.7658671418202418
Po10_W,139,london_marathon,2018,0.48743574121626004,1.7648229862838034
Po10_W,91,paris_marathon,2025,0.48884476618105027,-1.7597361363676334
